time,cell1,cell2,avg_dbz,weather_level,weather_desc,is_heavy_cloud,has_tall_echo
2023-12-22 00:00:00,2,10,54.0,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,2,3,48.55,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,2,1,48.35,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,2,0,26.35,3,Moderate Rain (Possible Impact),True,False
2023-12-22 00:00:00,10,1,49.65,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,10,0,27.65,3,Moderate Rain (Possible Impact),True,False
2023-12-22 00:00:00,10,11,55.65,5,Severe Thunderstorm / Hail,True,False
2023-12-22 00:00:00,10,17,51.5,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,10,18,45.5,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,10,19,52.25,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,10,27,47.65,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,10,26,27.65,3,Moderate Rain (Possible Impact),True,False
2023-12-22 00:00:00,10,9,54.5,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,3,11,50.2,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,3,1,44.2,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,3,4,46.349999999999994,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,11,12,52.3,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,11,17,51.85,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,11,18,45.85,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,11,19,52.6,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,11,20,44.95,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,11,27,48.0,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,11,28,57.3,5,Severe Thunderstorm / Hail,True,False
2023-12-22 00:00:00,11,30,41.25,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,11,29,46.4,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,11,13,42.55,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,1,9,48.85,4,Heavy Rain or Thunderstorm,True,False
2023-12-22 00:00:00,1,0,22.0,3,Moderate Rain (Possible Impact),True,False
