t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft
0,39.36551787946668,-82.41616891199598,37000.0,42.04399395455645,-86.34509887936117,29545.98406634572,44.47611,-85.20944,12800.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,41.25726093444073,-80.5128711526116,26000.0,39.420803726041754,-82.26162697454477,33000.0,42.09997516767139,-86.34785041384998,29000.0
600,39.36551787946668,-82.41616891199598,37000.0,42.04399395455645,-86.34509887936117,29545.98406634572,44.47611,-85.20944,12800.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,41.326484048814955,-81.17371930539626,20000.0,39.420803726041754,-82.26162697454477,33000.0,42.43214204727166,-85.67033121252409,20000.0
1200,39.36551787946668,-82.41616891199598,37000.0,42.04399395455645,-86.34509887936117,29545.98406634572,44.47611,-85.20944,12800.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,41.39570716318918,-81.88929999999996,10000.0,39.420803726041754,-82.26162697454477,33000.0,42.670641090707505,-85.0175,10000.0
1800,39.36551787946668,-82.41616891199598,37000.0,42.04399395455645,-86.34509887936117,29545.98406634572,44.47611,-85.20944,12800.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.9662,-84.2975,11000.0
2400,39.36551787946668,-82.41616891199598,37000.0,42.04399395455645,-86.34509887936117,29545.98406634572,44.47611,-85.20944,12800.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.9662,-84.2975,11000.0
3000,39.36551787946668,-82.41616891199598,37000.0,42.04399395455645,-86.34509887936117,29545.98406634572,44.47611,-85.20944,12800.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.41649999999994,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.96619999999994,-84.2975,11000.0
3600,39.36551787946668,-82.41616891199598,37000.0,42.04399395455645,-86.34509887936117,29545.98406634572,44.47611,-85.20944,12800.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.9662,-84.2975,11000.0
4200,39.36551787946668,-82.41616891199598,37000.0,42.04399395455645,-86.34509887936117,29545.98406634572,44.41830000000018,-84.74170000000005,10000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.41649999999992,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.96619999999989,-84.2975,11000.0
4800,39.36551787946668,-82.41616891199598,37000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.9183,-84.0217,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.9662,-84.2975,11000.0
5400,39.36551787946668,-82.41616891199598,37000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.91829999999995,-84.02169999999992,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.416499999999914,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.96619999999989,-84.2975,11000.0
6000,39.36551787946668,-82.41616891199598,37000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.9183,-84.0217,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.9662,-84.2975,11000.0
6600,39.36551787946668,-82.41616891199598,37000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.918299999999924,-84.0216999999999,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.416499999999864,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.966200000000136,-84.2975,11000.0
7200,39.36551787946668,-82.41616891199598,37000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.9183,-84.0217,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.9662,-84.2975,11000.0
7800,41.67300000000003,-82.94049999999994,27000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.91829999999989,-84.02169999999987,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.41649999999986,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.96619999999982,-84.2975,11000.0
8400,41.673,-82.9405,17000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.9183,-84.0217,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.9662,-84.2975,11000.0
9000,41.673,-82.94049999999994,17000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.918299999999874,-84.02169999999984,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.41649999999983,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.96619999999984,-84.2975,11000.0
9600,41.673,-82.9405,17000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.9183,-84.0217,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.9662,-84.2975,11000.0
10200,41.673,-82.94049999999993,17000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.91829999999985,-84.02169999999983,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.4164999999998,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.96620000000013,-84.2975,11000.0
10800,41.673,-82.9405,17000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.9183,-84.0217,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.9662,-84.2975,11000.0
11400,41.673,-82.9404999999999,17000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.918299999999846,-84.02169999999984,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.41649999999975,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.96620000000014,-84.2975,11000.0
12000,41.673,-82.9405,17000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.9183,-84.0217,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.9662,-84.2975,11000.0
12600,41.673,-82.9404999999999,17000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.91829999999982,-84.02169999999978,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.416499999999715,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.96619999999981,-84.2975,11000.0
13200,41.673,-82.9405,17000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.9183,-84.0217,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.9662,-84.2975,11000.0
13800,41.673,-82.94049999999986,17000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.918299999999775,-84.02169999999975,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.416499999999644,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.966199999999766,-84.2975,11000.0
14400,41.673,-82.9405,17000.0,42.04399395455645,-86.34509887936117,29545.98406634572,41.9183,-84.0217,8000.0,43.39059666150893,-86.1108835941761,33000.0,42.95225280593826,-80.44966189445813,26000.0,42.51440867084101,-80.36900690435426,30913.210603268748,39.32131356227871,-82.56420521611844,35000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,41.9662,-84.2975,11000.0
