t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft
0,43.14333,-86.20283554065244,25000.0,40.67310261772449,-80.78284743956621,30000.0,39.47299397976529,-82.13763238466804,31000.0,39.47195669419985,-82.13982072706742,34843.47016433779,43.08009171556955,-80.48175785206433,27454.86484907332,44.99942652085821,-84.45890211131832,11100.0,40.49556,-85.78861,35000.0,39.408821847175155,-82.29519278464454,33000.0,40.54183617077397,-85.84486435379898,33000.0,43.23259262464273,-86.17093165012358,33000.0,41.893129528334505,-86.33518040251012,34947.761911876754,42.51437072174892,-80.36900118630447,31225.192091303543,43.233901700687525,-86.17046327956935,33000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691
600,43.14333,-86.20283554065244,25000.0,40.67310261772449,-80.78284743956621,30000.0,39.47299397976529,-82.13763238466804,31000.0,39.47195669419985,-82.13982072706742,34843.47016433779,43.08009171556955,-80.48175785206433,27454.86484907332,44.99942652085821,-84.45890211131832,11100.0,40.49556,-85.78861,35000.0,39.408821847175155,-82.29519278464454,33000.0,40.54183617077397,-85.84486435379898,33000.0,43.23259262464273,-86.17093165012358,33000.0,41.893129528334505,-85.6457603018826,24947.761911876754,42.51437072174892,-80.36900118630447,31225.192091303543,43.233901700687525,-86.17046327956935,33000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691
1200,43.14333,-86.20283554065244,25000.0,40.67310261772449,-80.78284743956621,30000.0,39.47299397976529,-82.13763238466804,31000.0,39.47195669419985,-82.13982072706742,34843.47016433779,43.08009171556955,-80.48175785206433,27454.86484907332,44.99942652085821,-84.45890211131832,11100.0,40.49556,-85.78861,35000.0,39.408821847175155,-82.29519278464454,33000.0,40.54183617077397,-85.84486435379898,33000.0,43.23259262464273,-86.17093165012358,33000.0,42.2787,-85.0175,14947.761911876754,42.51437072174892,-80.36900118630447,31225.192091303543,43.233901700687525,-86.17046327956935,33000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691
1800,43.14333,-86.20283554065244,25000.0,40.67310261772449,-80.78284743956621,30000.0,39.47299397976529,-82.13763238466804,31000.0,39.47195669419985,-82.13982072706742,34843.47016433779,43.08009171556955,-80.48175785206433,27454.86484907332,44.99942652085821,-84.45890211131832,11100.0,40.49556,-85.78861,35000.0,39.408821847175155,-82.29519278464454,33000.0,40.54183617077397,-85.84486435379898,33000.0,43.23259262464273,-86.17093165012358,33000.0,41.9662,-84.2975,11000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.233901700687525,-86.17046327956935,33000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691
2400,43.14333,-86.20283554065244,25000.0,40.67310261772449,-80.78284743956621,30000.0,39.47299397976529,-82.13763238466804,31000.0,39.47195669419985,-82.13982072706742,34843.47016433779,43.08009171556955,-80.48175785206433,27454.86484907332,44.99942652085821,-84.45890211131832,11100.0,40.49556,-85.78861,35000.0,39.408821847175155,-82.29519278464454,33000.0,40.54183617077397,-85.84486435379898,33000.0,43.23259262464273,-86.17093165012358,33000.0,41.9662,-84.2975,11000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.233901700687525,-86.17046327956935,33000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691
3000,43.14333,-86.20283554065244,25000.0,40.67310261772449,-80.78284743956621,30000.0,39.47299397976529,-82.13763238466804,31000.0,39.47195669419985,-82.13982072706742,34843.47016433779,43.08009171556955,-80.48175785206433,27454.86484907332,44.99942652085821,-84.45890211131832,11100.0,40.49556,-85.78861,35000.0,39.408821847175155,-82.29519278464454,33000.0,40.54183617077397,-85.84486435379898,33000.0,43.23259262464273,-86.17093165012358,33000.0,41.96619999999994,-84.2975,11000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.233901700687525,-86.17046327956935,33000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691
3600,43.14333,-86.20283554065244,25000.0,40.67310261772449,-80.78284743956621,30000.0,39.47299397976529,-82.13763238466804,31000.0,39.47195669419985,-82.13982072706742,34843.47016433779,43.08009171556955,-80.48175785206433,27454.86484907332,44.99942652085821,-84.45890211131832,11100.0,40.49556,-85.78861,35000.0,39.408821847175155,-82.29519278464454,33000.0,40.54183617077397,-85.84486435379898,33000.0,43.23259262464273,-86.17093165012358,33000.0,41.9662,-84.2975,11000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.233901700687525,-86.17046327956935,33000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691
4200,43.14333,-86.20283554065244,25000.0,40.67310261772449,-80.78284743956621,30000.0,39.47299397976529,-82.13763238466804,31000.0,39.47195669419985,-82.13982072706742,34843.47016433779,43.08009171556955,-80.48175785206433,27454.86484907332,44.99942652085821,-84.45890211131832,11100.0,40.49556,-85.78861,35000.0,39.408821847175155,-82.29519278464454,33000.0,40.54183617077397,-85.84486435379898,33000.0,43.23259262464273,-86.17093165012358,33000.0,41.96619999999991,-84.2975,11000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.233901700687525,-86.17046327956935,33000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691
4800,43.14333,-86.20283554065244,25000.0,40.67310261772449,-80.78284743956621,30000.0,39.47299397976529,-82.13763238466804,31000.0,39.47195669419985,-82.13982072706742,34843.47016433779,43.08009171556955,-80.48175785206433,27454.86484907332,44.99942652085821,-84.45890211131832,11100.0,40.49556,-85.78861,35000.0,39.408821847175155,-82.29519278464454,33000.0,40.54183617077397,-85.84486435379898,33000.0,43.23259262464273,-86.17093165012358,33000.0,41.9662,-84.2975,11000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.233901700687525,-86.17046327956935,33000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691
5400,43.14333,-86.20283554065244,25000.0,40.67310261772449,-80.78284743956621,30000.0,39.47299397976529,-82.13763238466804,31000.0,39.47195669419985,-82.13982072706742,34843.47016433779,43.08009171556955,-80.48175785206433,27454.86484907332,44.99942652085821,-84.45890211131832,11100.0,40.49556,-85.78861,35000.0,39.408821847175155,-82.29519278464454,33000.0,40.54183617077397,-85.84486435379898,33000.0,43.23259262464273,-86.17093165012358,33000.0,41.96619999999987,-84.2975,11000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.233901700687525,-86.17046327956935,33000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691
