t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft,f16_lat,f16_lon,f16_alt_ft,f17_lat,f17_lon,f17_alt_ft,f18_lat,f18_lon,f18_alt_ft,f19_lat,f19_lon,f19_alt_ft,f20_lat,f20_lon,f20_alt_ft
0,42.87833,-85.45139,2600.0,43.07999684681137,-86.2250655561133,37000.0,42.72862658204464,-80.40075545441255,30000.0,39.72775887326741,-81.6737038473906,32000.0,42.72839048632175,-80.40072036968238,28000.0,40.67249339037035,-80.78321274725057,30000.0,39.44368474347494,-82.19940587271505,36984.0825456992,42.50205246442259,-80.36762424009582,31982.697781139683,43.08023501885609,-80.48179275878633,30600.754166188017,39.47207014201796,-82.13958143060201,35000.0,39.47299397976529,-82.13763238466804,31000.0,43.3119378771412,-86.14249638029663,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.51861,-85.65417,29500.0,41.893129528334505,-86.33518040251012,34947.761911876754,42.72859175431176,-80.4007502785051,30098.356244302344,40.49639,-85.71833,29200.0,42.96667,-80.795,26700.0,42.0441530289793,-86.34510601613685,31000.0,42.9280038324637,-86.26321046360388,23000.0
600,42.87833,-85.45139,2600.0,43.04181709507215,-85.67939138902831,27000.0,42.72862658204464,-80.40075545441255,30000.0,39.72775887326741,-81.6737038473906,32000.0,42.72839048632175,-80.40072036968238,28000.0,40.67249339037035,-80.78321274725057,30000.0,39.44368474347494,-82.19940587271505,36984.0825456992,42.50205246442259,-80.36762424009582,31982.697781139683,43.08023501885609,-80.48179275878633,30600.754166188017,39.47207014201796,-82.13958143060201,35000.0,39.47299397976529,-82.13763238466804,31000.0,43.3119378771412,-86.14249638029663,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.51861,-85.65417,29500.0,41.893129528334505,-86.33518040251012,34947.761911876754,42.72859175431176,-80.4007502785051,30098.356244302344,40.49639,-85.71833,29200.0,42.96667,-80.795,26700.0,42.0441530289793,-86.34510601613685,31000.0,42.9280038324637,-86.26321046360388,23000.0
1200,42.87833,-85.45139,2600.0,42.76336788336929,-85.0175,17000.0,42.72862658204464,-80.40075545441255,30000.0,39.72775887326741,-81.6737038473906,32000.0,42.72839048632175,-80.40072036968238,28000.0,40.67249339037035,-80.78321274725057,30000.0,39.44368474347494,-82.19940587271505,36984.0825456992,42.50205246442259,-80.36762424009582,31982.697781139683,43.08023501885609,-80.48179275878633,30600.754166188017,39.47207014201796,-82.13958143060201,35000.0,39.47299397976529,-82.13763238466804,31000.0,43.3119378771412,-86.14249638029663,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.51861,-85.65417,29500.0,41.893129528334505,-86.33518040251012,34947.761911876754,42.72859175431176,-80.4007502785051,30098.356244302344,40.49639,-85.71833,29200.0,42.96667,-80.795,26700.0,42.0441530289793,-86.34510601613685,31000.0,42.9280038324637,-86.26321046360388,23000.0
1800,42.87833,-85.45139,2600.0,41.9662,-84.2975,11000.0,42.72862658204464,-80.40075545441255,30000.0,39.72775887326741,-81.6737038473906,32000.0,42.72839048632175,-80.40072036968238,28000.0,40.67249339037035,-80.78321274725057,30000.0,39.44368474347494,-82.19940587271505,36984.0825456992,42.50205246442259,-80.36762424009582,31982.697781139683,43.08023501885609,-80.48179275878633,30600.754166188017,39.47207014201796,-82.13958143060201,35000.0,39.47299397976529,-82.13763238466804,31000.0,43.3119378771412,-86.14249638029663,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.51861,-85.65417,29500.0,41.893129528334505,-86.33518040251012,34947.761911876754,42.72859175431176,-80.4007502785051,30098.356244302344,40.49639,-85.71833,29200.0,42.96667,-80.795,26700.0,42.0441530289793,-86.34510601613685,31000.0,42.9280038324637,-86.26321046360388,23000.0
2400,42.87833,-85.45139,2600.0,41.9662,-84.2975,11000.0,42.72862658204464,-80.40075545441255,30000.0,39.72775887326741,-81.6737038473906,32000.0,42.72839048632175,-80.40072036968238,28000.0,40.67249339037035,-80.78321274725057,30000.0,39.44368474347494,-82.19940587271505,36984.0825456992,42.50205246442259,-80.36762424009582,31982.697781139683,43.08023501885609,-80.48179275878633,30600.754166188017,39.47207014201796,-82.13958143060201,35000.0,39.47299397976529,-82.13763238466804,31000.0,43.3119378771412,-86.14249638029663,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.51861,-85.65417,29500.0,41.893129528334505,-86.33518040251012,34947.761911876754,42.72859175431176,-80.4007502785051,30098.356244302344,40.49639,-85.71833,29200.0,42.96667,-80.795,26700.0,42.0441530289793,-86.34510601613685,31000.0,42.9280038324637,-86.26321046360388,23000.0
3000,42.87833,-85.45139,2600.0,41.96619999999994,-84.2975,11000.0,42.72862658204464,-80.40075545441255,30000.0,39.72775887326741,-81.6737038473906,32000.0,42.72839048632175,-80.40072036968238,28000.0,40.67249339037035,-80.78321274725057,30000.0,39.44368474347494,-82.19940587271505,36984.0825456992,42.50205246442259,-80.36762424009582,31982.697781139683,43.08023501885609,-80.48179275878633,30600.754166188017,39.47207014201796,-82.13958143060201,35000.0,39.47299397976529,-82.13763238466804,31000.0,43.3119378771412,-86.14249638029663,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.51861,-85.65417,29500.0,41.893129528334505,-86.33518040251012,34947.761911876754,42.72859175431176,-80.4007502785051,30098.356244302344,40.49639,-85.71833,29200.0,42.96667,-80.795,26700.0,42.0441530289793,-86.34510601613685,31000.0,42.9280038324637,-86.26321046360388,23000.0
3600,42.87833,-85.45139,2600.0,41.9662,-84.2975,11000.0,42.72862658204464,-80.40075545441255,30000.0,39.72775887326741,-81.6737038473906,32000.0,42.72839048632175,-80.40072036968238,28000.0,40.67249339037035,-80.78321274725057,30000.0,39.44368474347494,-82.19940587271505,36984.0825456992,42.50205246442259,-80.36762424009582,31982.697781139683,43.08023501885609,-80.48179275878633,30600.754166188017,39.47207014201796,-82.13958143060201,35000.0,39.47299397976529,-82.13763238466804,31000.0,43.3119378771412,-86.14249638029663,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.51861,-85.65417,29500.0,41.893129528334505,-86.33518040251012,34947.761911876754,42.72859175431176,-80.4007502785051,30098.356244302344,40.49639,-85.71833,29200.0,42.96667,-80.795,26700.0,42.0441530289793,-86.34510601613685,31000.0,42.9280038324637,-86.26321046360388,23000.0
4200,42.87833,-85.45139,2600.0,41.96619999999992,-84.2975,11000.0,42.72862658204464,-80.40075545441255,30000.0,39.72775887326741,-81.6737038473906,32000.0,42.72839048632175,-80.40072036968238,28000.0,40.67249339037035,-80.78321274725057,30000.0,39.44368474347494,-82.19940587271505,36984.0825456992,42.50205246442259,-80.36762424009582,31982.697781139683,43.08023501885609,-80.48179275878633,30600.754166188017,39.47207014201796,-82.13958143060201,35000.0,39.47299397976529,-82.13763238466804,31000.0,43.3119378771412,-86.14249638029663,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.51861,-85.65417,29500.0,41.893129528334505,-86.33518040251012,34947.761911876754,42.72859175431176,-80.4007502785051,30098.356244302344,40.49639,-85.71833,29200.0,42.96667,-80.795,26700.0,42.0441530289793,-86.34510601613685,31000.0,42.9280038324637,-86.26321046360388,23000.0
4800,42.87833,-85.45139,2600.0,41.9662,-84.2975,11000.0,42.72862658204464,-80.40075545441255,30000.0,39.72775887326741,-81.6737038473906,32000.0,42.72839048632175,-80.40072036968238,28000.0,40.67249339037035,-80.78321274725057,30000.0,39.44368474347494,-82.19940587271505,36984.0825456992,42.50205246442259,-80.36762424009582,31982.697781139683,43.08023501885609,-80.48179275878633,30600.754166188017,39.47207014201796,-82.13958143060201,35000.0,39.47299397976529,-82.13763238466804,31000.0,43.3119378771412,-86.14249638029663,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.51861,-85.65417,29500.0,41.893129528334505,-86.33518040251012,34947.761911876754,42.72859175431176,-80.4007502785051,30098.356244302344,40.49639,-85.71833,29200.0,42.96667,-80.795,26700.0,42.0441530289793,-86.34510601613685,31000.0,42.9280038324637,-86.26321046360388,23000.0
5400,42.87833,-85.45139,2600.0,41.96619999999992,-84.2975,11000.0,42.72862658204464,-80.40075545441255,30000.0,39.72775887326741,-81.6737038473906,32000.0,42.72839048632175,-80.40072036968238,28000.0,40.67249339037035,-80.78321274725057,30000.0,39.44368474347494,-82.19940587271505,36984.0825456992,42.50205246442259,-80.36762424009582,31982.697781139683,43.08023501885609,-80.48179275878633,30600.754166188017,39.47207014201796,-82.13958143060201,35000.0,39.47299397976529,-82.13763238466804,31000.0,43.3119378771412,-86.14249638029663,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.51861,-85.65417,29500.0,41.893129528334505,-86.33518040251012,34947.761911876754,42.72859175431176,-80.4007502785051,30098.356244302344,40.49639,-85.71833,29200.0,42.96667,-80.795,26700.0,42.0441530289793,-86.34510601613685,31000.0,42.9280038324637,-86.26321046360388,23000.0
