t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft,f16_lat,f16_lon,f16_alt_ft,f17_lat,f17_lon,f17_alt_ft,f18_lat,f18_lon,f18_alt_ft,f19_lat,f19_lon,f19_alt_ft,f20_lat,f20_lon,f20_alt_ft,f21_lat,f21_lon,f21_alt_ft,f22_lat,f22_lon,f22_alt_ft,f23_lat,f23_lon,f23_alt_ft,f24_lat,f24_lon,f24_alt_ft,f25_lat,f25_lon,f25_alt_ft,f26_lat,f26_lon,f26_alt_ft,f27_lat,f27_lon,f27_alt_ft,f28_lat,f28_lon,f28_alt_ft,f29_lat,f29_lon,f29_alt_ft,f30_lat,f30_lon,f30_alt_ft
0,43.24013978792364,-86.16823008432762,33000.0,42.51528640319841,-80.3691364074183,31897.68559093646,42.0440283617466,-86.34510052157984,33000.0,42.51440560226964,-80.36900629487762,33625.01653117114,41.87180481222802,-86.33200477447754,35000.0,39.4128779144852,-82.28383496039737,35000.0,40.69475370909346,-80.76986511336376,30000.0,42.95225280593826,-80.44966189445813,26000.0,40.505,-85.65944,29000.0,42.980072111706384,-86.25016320267274,25000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.08023501885609,-80.48179275878633,30600.754166188017,43.14333,-86.20283554065244,25000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691,42.09997516767139,-86.34785041384998,29000.0,44.47611,-85.20944,12800.0,42.51440867084101,-80.36900690435426,30913.210603268748,40.49139,-85.68306,31000.0,42.51441205444099,-80.36900724312108,30810.162021458946,43.0607490808099,-80.47689299741971,22000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.728643301578266,-80.40075795334256,32252.54969173528,43.32650163629873,-86.13726900471796,31000.0,40.01444,-84.74861,29000.0,42.51465834007257,-80.36904368079536,31633.6326876871,43.09239653435184,-86.22098350157782,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.08041453187901,-80.48183794799729,28497.07388501836
600,43.24013978792364,-86.16823008432762,33000.0,42.51528640319841,-80.3691364074183,31897.68559093646,42.0440283617466,-86.34510052157984,33000.0,42.51440560226964,-80.36900629487762,33625.01653117114,42.18430481222801,-85.67475238723881,25000.0,39.4128779144852,-82.28383496039737,35000.0,40.69475370909346,-80.76986511336376,30000.0,42.95225280593826,-80.44966189445813,26000.0,40.505,-85.65944,29000.0,42.980072111706384,-86.25016320267274,25000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.08023501885609,-80.48179275878633,30600.754166188017,43.14333,-86.20283554065244,25000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691,42.09997516767139,-85.68267520692503,20000.0,44.47611,-85.20944,12800.0,42.51440867084101,-80.36900690435426,30913.210603268748,40.49139,-85.68306,31000.0,42.51441205444099,-80.36900724312108,30810.162021458946,43.0607490808099,-80.47689299741971,22000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.728643301578266,-80.40075795334256,32252.54969173528,43.32650163629873,-86.13726900471796,31000.0,40.01444,-84.74861,29000.0,42.51465834007257,-80.36904368079536,31633.6326876871,43.09239653435184,-86.22098350157782,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.08041453187901,-80.48183794799729,28497.07388501836
1200,43.24013978792364,-86.16823008432762,33000.0,42.51528640319841,-80.3691364074183,31897.68559093646,42.0440283617466,-86.34510052157984,33000.0,42.51440560226964,-80.36900629487762,33625.01653117114,42.2787,-85.0175,15000.0,39.4128779144852,-82.28383496039737,35000.0,40.69475370909346,-80.76986511336376,30000.0,42.95225280593826,-80.44966189445813,26000.0,40.505,-85.65944,29000.0,42.980072111706384,-86.25016320267274,25000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.08023501885609,-80.48179275878633,30600.754166188017,43.14333,-86.20283554065244,25000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691,41.9662,-85.0175,10000.0,44.47611,-85.20944,12800.0,42.51440867084101,-80.36900690435426,30913.210603268748,40.49139,-85.68306,31000.0,42.51441205444099,-80.36900724312108,30810.162021458946,43.0607490808099,-80.47689299741971,22000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.728643301578266,-80.40075795334256,32252.54969173528,43.32650163629873,-86.13726900471796,31000.0,40.01444,-84.74861,29000.0,42.51465834007257,-80.36904368079536,31633.6326876871,43.09239653435184,-86.22098350157782,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.08041453187901,-80.48183794799729,28497.07388501836
1800,43.24013978792364,-86.16823008432762,33000.0,42.51528640319841,-80.3691364074183,31897.68559093646,42.0440283617466,-86.34510052157984,33000.0,42.51440560226964,-80.36900629487762,33625.01653117114,41.9662,-84.2975,11000.0,39.4128779144852,-82.28383496039737,35000.0,40.69475370909346,-80.76986511336376,30000.0,42.95225280593826,-80.44966189445813,26000.0,40.505,-85.65944,29000.0,42.980072111706384,-86.25016320267274,25000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.08023501885609,-80.48179275878633,30600.754166188017,43.14333,-86.20283554065244,25000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691,41.9662,-84.2975,11000.0,44.47611,-85.20944,12800.0,42.51440867084101,-80.36900690435426,30913.210603268748,40.49139,-85.68306,31000.0,42.51441205444099,-80.36900724312108,30810.162021458946,43.0607490808099,-80.47689299741971,22000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.728643301578266,-80.40075795334256,32252.54969173528,43.32650163629873,-86.13726900471796,31000.0,40.01444,-84.74861,29000.0,42.51465834007257,-80.36904368079536,31633.6326876871,43.09239653435184,-86.22098350157782,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.08041453187901,-80.48183794799729,28497.07388501836
2400,43.24013978792364,-86.16823008432762,33000.0,42.51528640319841,-80.3691364074183,31897.68559093646,42.0440283617466,-86.34510052157984,33000.0,42.51440560226964,-80.36900629487762,33625.01653117114,41.9662,-84.2975,11000.0,39.4128779144852,-82.28383496039737,35000.0,40.69475370909346,-80.76986511336376,30000.0,42.95225280593826,-80.44966189445813,26000.0,40.505,-85.65944,29000.0,42.980072111706384,-86.25016320267274,25000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.08023501885609,-80.48179275878633,30600.754166188017,43.14333,-86.20283554065244,25000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691,41.9662,-84.2975,11000.0,44.47611,-85.20944,12800.0,42.51440867084101,-80.36900690435426,30913.210603268748,40.49139,-85.68306,31000.0,42.51441205444099,-80.36900724312108,30810.162021458946,43.0607490808099,-80.47689299741971,22000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.728643301578266,-80.40075795334256,32252.54969173528,43.32650163629873,-86.13726900471796,31000.0,40.01444,-84.74861,29000.0,42.51465834007257,-80.36904368079536,31633.6326876871,43.09239653435184,-86.22098350157782,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.08041453187901,-80.48183794799729,28497.07388501836
3000,43.24013978792364,-86.16823008432762,33000.0,42.51528640319841,-80.3691364074183,31897.68559093646,42.0440283617466,-86.34510052157984,33000.0,42.51440560226964,-80.36900629487762,33625.01653117114,41.96620000000006,-84.2975,11000.0,39.4128779144852,-82.28383496039737,35000.0,40.69475370909346,-80.76986511336376,30000.0,42.95225280593826,-80.44966189445813,26000.0,40.505,-85.65944,29000.0,42.980072111706384,-86.25016320267274,25000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.08023501885609,-80.48179275878633,30600.754166188017,43.14333,-86.20283554065244,25000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691,41.96619999999989,-84.2975,11000.0,44.47611,-85.20944,12800.0,42.51440867084101,-80.36900690435426,30913.210603268748,40.49139,-85.68306,31000.0,42.51441205444099,-80.36900724312108,30810.162021458946,43.0607490808099,-80.47689299741971,22000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.728643301578266,-80.40075795334256,32252.54969173528,43.32650163629873,-86.13726900471796,31000.0,41.737499999999976,-84.17729999999995,19000.0,42.51465834007257,-80.36904368079536,31633.6326876871,43.09239653435184,-86.22098350157782,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.08041453187901,-80.48183794799729,28497.07388501836
3600,43.24013978792364,-86.16823008432762,33000.0,42.51528640319841,-80.3691364074183,31897.68559093646,42.0440283617466,-86.34510052157984,33000.0,42.51440560226964,-80.36900629487762,33625.01653117114,41.9662,-84.2975,11000.0,39.4128779144852,-82.28383496039737,35000.0,40.69475370909346,-80.76986511336376,30000.0,42.95225280593826,-80.44966189445813,26000.0,40.505,-85.65944,29000.0,42.980072111706384,-86.25016320267274,25000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.08023501885609,-80.48179275878633,30600.754166188017,43.14333,-86.20283554065244,25000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691,41.9662,-84.2975,11000.0,44.47611,-85.20944,12800.0,42.51440867084101,-80.36900690435426,30913.210603268748,40.49139,-85.68306,31000.0,42.51441205444099,-80.36900724312108,30810.162021458946,43.0607490808099,-80.47689299741971,22000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.728643301578266,-80.40075795334256,32252.54969173528,43.32650163629873,-86.13726900471796,31000.0,41.7375,-84.1773,19000.0,42.51465834007257,-80.36904368079536,31633.6326876871,43.09239653435184,-86.22098350157782,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.08041453187901,-80.48183794799729,28497.07388501836
4200,43.24013978792364,-86.16823008432762,33000.0,42.51528640319841,-80.3691364074183,31897.68559093646,42.0440283617466,-86.34510052157984,33000.0,42.51440560226964,-80.36900629487762,33625.01653117114,41.966199999999894,-84.2975,11000.0,39.4128779144852,-82.28383496039737,35000.0,40.69475370909346,-80.76986511336376,30000.0,42.95225280593826,-80.44966189445813,26000.0,40.505,-85.65944,29000.0,42.980072111706384,-86.25016320267274,25000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.08023501885609,-80.48179275878633,30600.754166188017,43.14333,-86.20283554065244,25000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691,41.96619999999985,-84.2975,11000.0,44.47611,-85.20944,12800.0,42.51440867084101,-80.36900690435426,30913.210603268748,40.49139,-85.68306,31000.0,42.51441205444099,-80.36900724312108,30810.162021458946,43.0607490808099,-80.47689299741971,22000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.728643301578266,-80.40075795334256,32252.54969173528,43.32650163629873,-86.13726900471796,31000.0,41.73750000000006,-84.17729999999992,19000.0,42.51465834007257,-80.36904368079536,31633.6326876871,43.09239653435184,-86.22098350157782,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.08041453187901,-80.48183794799729,28497.07388501836
4800,43.24013978792364,-86.16823008432762,33000.0,42.51528640319841,-80.3691364074183,31897.68559093646,42.0440283617466,-86.34510052157984,33000.0,42.51440560226964,-80.36900629487762,33625.01653117114,41.9662,-84.2975,11000.0,39.4128779144852,-82.28383496039737,35000.0,40.69475370909346,-80.76986511336376,30000.0,42.95225280593826,-80.44966189445813,26000.0,40.505,-85.65944,29000.0,42.980072111706384,-86.25016320267274,25000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.08023501885609,-80.48179275878633,30600.754166188017,43.14333,-86.20283554065244,25000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691,41.9662,-84.2975,11000.0,44.418300000000194,-84.74170000000007,10000.0,42.51440867084101,-80.36900690435426,30913.210603268748,40.49139,-85.68306,31000.0,42.51441205444099,-80.36900724312108,30810.162021458946,43.0607490808099,-80.47689299741971,22000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.728643301578266,-80.40075795334256,32252.54969173528,43.32650163629873,-86.13726900471796,31000.0,41.7375,-84.1773,19000.0,42.51465834007257,-80.36904368079536,31633.6326876871,43.09239653435184,-86.22098350157782,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.08041453187901,-80.48183794799729,28497.07388501836
5400,43.24013978792364,-86.16823008432762,33000.0,42.51528640319841,-80.3691364074183,31897.68559093646,42.0440283617466,-86.34510052157984,33000.0,42.51440560226964,-80.36900629487762,33625.01653117114,41.96619999999989,-84.2975,11000.0,39.4128779144852,-82.28383496039737,35000.0,40.69475370909346,-80.76986511336376,30000.0,42.95225280593826,-80.44966189445813,26000.0,40.505,-85.65944,29000.0,42.980072111706384,-86.25016320267274,25000.0,42.51437072174892,-80.36900118630447,31225.192091303543,43.08023501885609,-80.48179275878633,30600.754166188017,43.14333,-86.20283554065244,25000.0,43.45778,-84.01639,3900.0,39.61536903041827,-81.85829838495057,35678.52387832691,41.966200000000185,-84.2975,11000.0,41.9183,-84.0217,8000.0,42.51440867084101,-80.36900690435426,30913.210603268748,40.49139,-85.68306,31000.0,42.51441205444099,-80.36900724312108,30810.162021458946,43.0607490808099,-80.47689299741971,22000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.728643301578266,-80.40075795334256,32252.54969173528,43.32650163629873,-86.13726900471796,31000.0,41.737499999999905,-84.1772999999999,19000.0,42.51465834007257,-80.36904368079536,31633.6326876871,43.09239653435184,-86.22098350157782,23000.0,40.67244148005905,-80.78324397282847,30000.0,42.72859175431176,-80.4007502785051,30098.356244302344,43.08041453187901,-80.48183794799729,28497.07388501836
