t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft
0,39.47175240790911,-82.14025171480814,38615.59306899031,40.86920257296341,-80.6742174694934,36000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0
600,39.47239868635236,-82.2205,28615.59306899031,40.86920257296341,-80.6742174694934,36000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0
1200,41.673,-82.9405,18615.59306899031,40.86920257296341,-81.2255293673733,26000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0
1800,41.673,-82.94049999999994,18615.59306899031,41.166499999999985,-81.88929999999996,16000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0
2400,41.673,-82.9405,18615.59306899031,42.4165,-82.60929999999996,8000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0
3000,41.673,-82.94049999999994,18615.59306899031,42.4165,-82.60929999999996,8000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0
3600,41.673,-82.9405,18615.59306899031,42.41649999999994,-82.60929999999996,8000.0,42.75976412372694,-85.65033708354245,27000.0,40.91209416327008,-81.33455368410814,24000.0,39.6369957589119,-81.82224888730305,34000.0
4200,41.673,-82.94049999999994,18615.59306899031,42.4165,-82.60929999999996,8000.0,42.75976412372694,-84.98844569451416,17000.0,41.22459416327008,-81.93061342102702,14000.0,39.6369957589119,-81.82224888730305,34000.0
4800,41.673,-82.9405,18615.59306899031,42.41649999999992,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,39.6369957589119,-81.82224888730305,34000.0
5400,41.673,-82.9404999999999,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,39.6369957589119,-81.82224888730305,34000.0
6000,41.673,-82.9405,18615.59306899031,42.41649999999991,-82.60929999999996,8000.0,41.96619999999994,-84.2975,11000.0,42.41649999999994,-82.60929999999996,8000.0,39.6369957589119,-82.22049999999993,24000.0
6600,41.673,-82.94049999999989,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
7200,41.673,-82.9405,18615.59306899031,42.41649999999986,-82.60929999999996,8000.0,41.9661999999999,-84.2975,11000.0,42.416499999999914,-82.60929999999996,8000.0,41.673,-82.94049999999994,14000.0
7800,41.673,-82.94049999999986,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
8400,41.673,-82.9405,18615.59306899031,42.41649999999986,-82.60929999999996,8000.0,41.96619999999987,-84.2975,11000.0,42.4164999999999,-82.60929999999996,8000.0,41.673,-82.94049999999989,14000.0
9000,41.673,-82.94049999999984,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
9600,41.673,-82.9405,18615.59306899031,42.416499999999836,-82.60929999999996,8000.0,41.9661999999998,-84.2975,11000.0,42.416499999999886,-82.60929999999996,8000.0,41.673,-82.9404999999999,14000.0
10200,41.673,-82.9404999999998,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
10800,41.673,-82.9405,18615.59306899031,42.41649999999979,-82.60929999999996,8000.0,41.96619999999977,-84.2975,11000.0,42.41649999999984,-82.60929999999996,8000.0,41.673,-82.94049999999986,14000.0
11400,41.673,-82.94049999999979,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
12000,41.673,-82.9405,18615.59306899031,42.41649999999975,-82.60929999999996,8000.0,41.96620000000047,-84.2975,11000.0,42.41649999999982,-82.60929999999996,8000.0,41.673,-82.94049999999989,14000.0
12600,41.673,-82.94049999999974,18615.59306899031,42.4165,-82.60929999999996,8000.0,41.9662,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.673,-82.9405,14000.0
