t,f1_lat,f1_lon,f1_alt_ft
0,43.09239653435184,-86.22098350157782,23000.0
60,43.0220553153932,-86.14898350157782,22000.0
120,42.91887244281757,-86.07698350157781,21000.0
180,42.77426885209804,-86.00498350157781,20000.0
240,42.64522200654758,-85.9329835010677,19000.0
300,42.54203913397195,-85.8609835010677,19000.000000999986
360,42.39743554325241,-85.78898350106769,18000.000000999986
420,42.26342803665171,-85.71698350106769,17000.000000999982
480,42.10652633502799,-85.64498350106768,17000.000000999982
540,41.91273775331091,-85.57298350099481,16000.000000999979
600,41.84239653435227,-85.50098350092193,15000.000000999975
660,41.84239653435208,-85.42898350084906,14999.999996999959
720,41.8423965343519,-85.35698350077618,13999.999996999955
780,41.8423965343517,-85.2849835007033,13999.999996999955
840,41.759063201018186,-85.21298350063043,13999.999997999956
900,41.75906320101798,-85.15389999978586,13999.999998999956
960,41.7590632010182,-85.08189999978572,14000.0
1020,41.845100000005914,-85.00989999978559,14000.0
1080,41.694900000002235,-84.94009999978799,14000.0
1140,41.49376428944805,-84.88009999977565,14000.0
1200,41.4223164820621,-84.81989999978292,14000.0
1260,41.4223164820621,-84.74789999978279,14000.0
1320,41.4223164820621,-84.67589999978266,13000.0
1380,41.354511322914774,-84.60389999978253,12000.0
1440,41.28489999999874,-84.5318999997824,12000.0
1500,41.286566666671995,-84.46529999978007,13000.0
1560,41.36990000000533,-84.39329999977994,14000.0
1620,41.45323333333866,-84.32129999977981,15000.0
1680,41.536566666671995,-84.24929999977968,16000.0
1740,41.73749999999998,-84.17729999977955,17000.0
1800,41.73749999999998,-84.17730000000002,17000.0
1860,41.73749999999998,-84.17730000000002,17000.0
1920,41.73749999999998,-84.17730000000003,17000.0
1980,41.73749999999998,-84.17730000000003,17000.0
2040,41.73749999999998,-84.17730000000003,17000.0
2100,41.7375,-84.1773,17000.0
