aircraft_1,aircraft_2,plane,segment,t_start,t_end,status,mode,a1_star_fix,a2_star_fix
f1,f2,lat_lon,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f2,lat_lon,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f2,lat_lon,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f2,lat_lon,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f2,lat_alt,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f2,lat_alt,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f2,lat_alt,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f2,lat_alt,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f2,lon_alt,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f2,lon_alt,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f2,lon_alt,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f2,lon_alt,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f3,lat_lon,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f3,lat_lon,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f3,lat_lon,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f3,lat_lon,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f3,lat_alt,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f3,lat_alt,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f3,lat_alt,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f3,lat_alt,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f3,lon_alt,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f3,lon_alt,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f3,lon_alt,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f3,lon_alt,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f4,lat_lon,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f4,lat_lon,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f4,lat_lon,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f4,lat_lon,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f4,lat_alt,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f4,lat_alt,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f4,lat_alt,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f4,lat_alt,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f4,lon_alt,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f4,lon_alt,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f4,lon_alt,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f4,lon_alt,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f5,lat_lon,0,0.0,300.0,SAFE,y=f(x),CRAKN,CRAKN
f1,f5,lat_lon,1,300.0,600.0,SAFE,y=f(x),CRAKN,CRAKN
f1,f5,lat_lon,2,600.0,900.0,SAFE,y=f(x),CRAKN,CRAKN
f1,f5,lat_lon,3,900.0,1200.0,SAFE,y=f(x),CRAKN,CRAKN
f1,f5,lat_alt,0,0.0,300.0,SAFE,y=f(x),CRAKN,CRAKN
f1,f5,lat_alt,1,300.0,600.0,SAFE,y=f(x),CRAKN,CRAKN
f1,f5,lat_alt,2,600.0,900.0,SAFE,y=f(x),CRAKN,CRAKN
f1,f5,lat_alt,3,900.0,1200.0,SAFE,y=f(x),CRAKN,CRAKN
f1,f5,lon_alt,0,0.0,300.0,SAFE,y=f(x),CRAKN,CRAKN
f1,f5,lon_alt,1,300.0,600.0,SAFE,y=f(x),CRAKN,CRAKN
f1,f5,lon_alt,2,600.0,900.0,SAFE,y=f(x),CRAKN,CRAKN
f1,f5,lon_alt,3,900.0,1200.0,SAFE,y=f(x),CRAKN,CRAKN
f1,f6,lat_lon,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f6,lat_lon,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f6,lat_lon,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f6,lat_lon,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f6,lat_alt,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f6,lat_alt,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f6,lat_alt,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f6,lat_alt,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f6,lon_alt,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f6,lon_alt,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f6,lon_alt,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f6,lon_alt,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f7,lat_lon,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f7,lat_lon,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f7,lat_lon,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f7,lat_lon,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f7,lat_alt,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f7,lat_alt,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
f1,f7,lat_alt,2,600.0,900.0,SAFE,y=f(x),CRAKN,HANBL
f1,f7,lat_alt,3,900.0,1200.0,SAFE,y=f(x),CRAKN,HANBL
f1,f7,lon_alt,0,0.0,300.0,SAFE,y=f(x),CRAKN,HANBL
f1,f7,lon_alt,1,300.0,600.0,SAFE,y=f(x),CRAKN,HANBL
