t,x,y,z
0,40.67333,-80.76722,340.0
30,40.69361,-80.81944,340.0
60,40.71361,-80.87167,340.0
90,40.7425,-80.94833,340.0
120,40.76222,-81.00028,340.0
150,40.79083,-81.07556,340.0
180,40.81056,-81.1275,340.0
210,40.84,-81.20611,340.0
240,40.86,-81.25861,340.0
270,40.89056,-81.33944,340.0
300,40.90972,-81.39083,340.0
330,40.94028,-81.47222,340.0
360,40.96028,-81.52583,340.0
390,40.99,-81.60611,334.0
420,41.01083,-81.66111,330.0
450,41.04139,-81.74333,324.0
480,41.06111,-81.79667,319.0
510,41.09139,-81.87889,313.0
540,41.11111,-81.9325,309.0
570,41.13944,-82.00917,303.0
600,41.15889,-82.06222,299.0
630,41.18917,-82.14444,287.0
660,41.2075,-82.19556,278.0
690,41.23056,-82.24444,269.0
720,41.28,-82.30167,255.0
750,41.3125,-82.33694,248.0
780,41.36056,-82.39083,237.0
810,41.39306,-82.42694,228.0
840,41.44,-82.47917,216.0
870,41.47056,-82.51333,207.0
900,41.51444,-82.56222,193.0
