t,x,y,z
0,43.08,-86.225,370.0
30,43.08361,-86.15306,370.0
60,43.08861,-86.04222,370.0
90,43.09194,-85.97361,370.0
120,43.09667,-85.86639,364.0
150,43.09917,-85.79389,360.0
180,43.10333,-85.70583,347.0
210,43.10833,-85.59972,329.0
240,43.11306,-85.49167,313.0
270,43.11583,-85.42111,303.0
300,43.11889,-85.34972,294.0
330,43.12278,-85.24889,281.0
360,43.12694,-85.14861,267.0
390,43.12917,-85.08222,258.0
420,43.13167,-85.01833,250.0
450,43.13417,-84.92417,238.0
480,43.12,-84.86333,234.0
510,43.07806,-84.78806,230.0
540,43.04917,-84.73889,230.0
570,43.00389,-84.66167,230.0
600,42.97417,-84.61167,230.0
630,42.93,-84.53722,226.0
660,42.88639,-84.46361,215.0
690,42.8575,-84.41528,206.0
720,42.83,-84.36944,199.0
750,42.7925,-84.30667,189.0
780,42.75333,-84.24083,180.0
810,42.72639,-84.19639,170.0
840,42.68611,-84.12944,157.0
870,42.65917,-84.085,149.0
900,42.62,-84.02056,137.0
