t,f1_lat,f1_lon,f1_alt_ft
0,43.09239653435184,-86.22098350157782,23000.0
60,-6245.67890191019,-1463.64544683858,22000.0
120,-12534.450200352294,-2841.069910175047,21000.0
180,-18823.22149879439,-4218.494373511516,20000.0
240,-25111.985797223933,-5595.9173036409375,19000.0
300,-31400.719538101894,-6973.333540774551,18000.0
360,-37689.48394894859,-8350.756495527403,17000.0
420,-43978.25524739068,-9728.180958863872,16000.0
480,-58978.25522206479,-24728.18076328675,15000.0
540,-58978.255222064894,-24728.18076328686,15000.0
600,-58978.255222065,-24728.180763286975,15000.0
660,-58978.255222065134,-24728.18076328712,15000.0
720,-58978.25522206537,-24728.18076328725,15000.0
780,-58978.255222065454,-24728.18076328741,15000.0
840,-58978.25522206557,-24728.18076328763,15000.0
900,-58978.25522206569,-24728.18076328779,15000.0
960,-58978.25522206611,-24728.180763288023,15000.0
1020,-58978.25522206618,-24728.180763288314,15000.0
1080,-58978.25522206627,-24728.18076328849,15000.0
1140,-58978.25522206656,-24728.18076328849,15000.0
1200,-58978.25522206668,-24728.18076328872,15000.0
1260,-58978.25522206681,-24728.18076328875,15000.0
1320,-58978.25522206653,-24728.180763288634,15000.0
1380,-58978.255222066386,-24728.18076328846,15000.0
1440,-58978.25522206627,-24728.180763288372,15000.0
1500,-58978.25522206615,-24728.18076328817,15000.0
1560,-58978.25522206599,-24728.180763288023,15000.0
1620,-58978.25522206583,-24728.180763287877,15000.0
1680,-58978.25522206563,-24728.180763287615,15000.0
1740,-58978.2552220655,-24728.180763287586,15000.0
1800,-58978.255222065396,-24728.18076328744,15000.0
1860,-58978.25522206528,-24728.18076328734,15000.0
1920,-58978.25522206522,-24728.1807632867,15000.0
1980,-58978.25522206472,-24728.180763286247,15000.0
2040,-58978.25522206472,-24728.180763286247,15000.0
2100,-58978.255222064414,-24728.180763286247,15000.0
