t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft
0,43.079997,-86.225066,37000.0,40.694705,-80.769895,30000.0
1,43.079997,-86.153066,36000.0,40.694705,-80.84189500000001,29000.0
2,43.079997,-86.089283,35000.0,40.694705,-80.89759749999999,29000.0
3,43.079997,-86.02550000000001,35000.0,40.694705,-80.95329999999998,29000.0
4,43.033588791666666,-85.9535,34000.0,40.76956565217391,-81.02529999999999,29000.0
5,42.987180583333334,-85.8815,33000.0,40.84442630434782,-81.09729999999999,28000.0
6,42.94077237499998,-85.80950000000006,32000.0,40.91928695652179,-81.16929999999995,27000.0
7,42.89436416666665,-85.73750000000005,31000.0,40.9941476086957,-81.24129999999995,26000.0
8,42.847955958333316,-85.66550000000005,30000.0,41.06900826086961,-81.31329999999996,25000.0
9,42.80154774999998,-85.59350000000005,29000.0,41.14386891304352,-81.38529999999996,24000.0
10,42.75513954166665,-85.52150000000005,28000.0,41.21872956521743,-81.45729999999996,23000.0
11,42.70873133333332,-85.44950000000004,27000.0,41.29359021739134,-81.52929999999996,22000.0
12,42.662323124999986,-85.37750000000004,26000.0,41.36845086956525,-81.60129999999997,21000.0
13,42.615914916666654,-85.30550000000004,25000.0,41.44331152173916,-81.67329999999997,20000.0
14,42.56950670833332,-85.23350000000003,24000.0,41.51817217391307,-81.74529999999997,19000.0
15,42.52309849999999,-85.16150000000003,23000.0,41.59303282608698,-81.81729999999997,18000.0
16,42.47669029166666,-85.08950000000003,22000.0,41.66789347826089,-81.88929999999998,17000.0
17,42.430282083333324,-85.01750000000003,21000.0,41.742754130434804,-81.96129999999998,16000.0
18,42.38387387499999,-84.94550000000002,20000.0,41.817614782608715,-82.03329999999998,15000.0
19,42.33746566666666,-84.87350000000002,19000.0,41.892475434782625,-82.10529999999999,14000.0
20,42.29105745833333,-84.80150000000002,18000.0,41.967336086956536,-82.17729999999999,13000.0
21,42.244649249999995,-84.72950000000002,17000.0,42.042196739130446,-82.24929999999999,13000.0
22,42.19824104166666,-84.65750000000001,16000.0,42.11705739130436,-82.3213,12000.0
23,42.15183283333333,-84.58550000000001,15000.0,42.19191804347827,-82.3933,11000.0
24,42.105424625,-84.51350000000001,14000.0,42.26677869565218,-82.4653,10000.0
25,42.059016416666665,-84.4415,13000.0,42.34163934782609,-82.5373,9000.0
26,42.01260820833333,-84.3695,12000.0,42.4165,-82.6093,8000.0
27,41.9662,-84.2975,11000.0,42.4165,-82.6093,8000.0
28,41.9662,-84.2975,11000.0,42.4165,-82.6093,8000.0
29,41.9662,-84.2975,11000.0,42.4165,-82.6093,8000.0
30,41.9662,-84.2975,11000.0,42.4165,-82.6093,8000.0
31,41.9662,-84.2975,11000.0,42.4165,-82.6093,8000.0
32,41.9662,-84.2975,11000.0,42.4165,-82.6093,8000.0
33,41.9662,-84.2975,11000.0,42.4165,-82.6093,8000.0
34,41.9662,-84.2975,11000.0,42.4165,-82.6093,8000.0
35,41.9662,-84.2975,11000.0,42.4165,-82.6093,8000.0
