t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft
0,39.471957,-82.139821,34843.470164,39.471965,-82.139803,34406.851392
1,39.721957,-82.211821,33843.470164,39.471965,-82.14849999999997,33406.85139199999
2,39.971957,-82.28382100002922,32843.470164,39.721965,-82.22049999999997,32406.85139199999
3,39.971957,-82.35582100005844,31843.470164,39.88966764429486,-82.29249999999998,31406.85139199999
4,40.221957,-82.42782100008766,30843.470164,40.13966764429486,-82.36449999999998,30406.851391999986
5,40.471957,-82.49982100011688,29843.470164,40.38966764429486,-82.43649999999998,29406.851391999982
6,40.721957,-82.5718210001461,28843.470163999995,40.63966764429486,-82.50849999999998,28406.851391999982
7,40.971957,-82.64382100023376,27843.47016399999,40.88966764429486,-82.58049999999999,27406.85139199998
8,41.221957,-82.71582100023376,26843.470163999988,41.09071064429485,-82.65249999999999,26406.851391999975
9,41.221957,-82.78782100023376,25843.470163999984,41.34071064429485,-82.72449999999999,25406.85139199997
10,41.422999999999995,-82.85982100026298,24843.47016399998,41.34071064429485,-82.7965,24406.851391999808
11,41.672999999999995,-82.8685,23843.470163999846,41.59071064429485,-82.8685,23406.851391999804
12,41.672999999999995,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
13,41.672999999999995,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
14,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
15,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
16,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
17,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
18,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
19,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
20,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
21,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
22,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
23,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
24,41.673,-82.9405,22843.47016399982,41.673,-82.9405,22406.8513919998
25,41.673,-82.9405,22843.47016399982,41.673,-82.9405,22406.8513919998
26,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
27,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
28,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.851391999786
29,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
30,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
31,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
32,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
33,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
34,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
35,41.673,-82.9405,22843.470163999842,41.673,-82.9405,22406.8513919998
