t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft
0.0,39.471957,-82.139821,34843.470164,39.471965,-82.139803,34406.851392
60.0,39.471957,-82.13982100000001,34843.470164,39.471965,-82.139803,33626.96598009
120.0,39.53890826470589,-82.1591556764706,34843.470164,39.53891602941176,-82.15913820588236,33626.96598009
180.0,39.60585952941172,-82.17849035294105,34843.470163999984,39.605867058823634,-82.1784734117646,33626.96598008998
240.0,39.6728107941176,-82.19782502941165,34843.470163999984,39.672818088235395,-82.19780861764696,33626.96598008998
300.0,39.73976205882349,-82.21715970588224,34843.470163999984,39.73976911764716,-82.21714382352931,33626.96598008998
360.0,39.80671332352937,-82.23649438235283,34829.74153776017,39.80672014705892,-82.23647902941167,32847.08056817998
420.0,39.87366458823526,-82.25582905882342,34829.74153776017,39.87367117647068,-82.25581423529403,32847.08056817998
480.0,39.94061585294114,-82.27516373529402,34003.50230702017,39.94062220588244,-82.27514944117638,32067.195156269976
540.0,40.00756711764703,-82.29449841176461,33177.263076280164,40.0075732352942,-82.29448464705874,31287.309744359973
600.0,40.07451838235291,-82.3138330882352,32351.02384554016,40.074524264705964,-82.3138198529411,30507.42433244997
660.0,40.1414696470588,-82.33316776470579,31524.784614800155,40.141475294117726,-82.33315505882345,29727.538920539966
720.0,40.208420911764684,-82.35250244117638,30698.54538406015,40.20842632352949,-82.3524902647058,28947.653508629963
780.0,40.27537217647057,-82.37183711764698,29872.306153320147,40.27537735294125,-82.37182547058816,28167.76809671996
840.0,40.342323441176454,-82.39117179411757,29046.066922580143,40.34232838235301,-82.39116067647052,27387.882684809956
900.0,40.40927470588234,-82.41050647058816,28219.827691840135,40.40927941176477,-82.41049588235288,26607.997272899953
960.0,40.476225970588224,-82.42984114705875,27393.588461100127,40.47623044117653,-82.42983108823523,25828.111860989946
1020.0,40.54317723529411,-82.44917582352934,26567.34923036012,40.543181470588294,-82.44916629411759,25048.22644907994
1080.0,40.610128499999995,-82.46851049999994,25741.109999620112,40.610132500000056,-82.46850149999995,24268.341037169932
1140.0,40.67707976470588,-82.48784517647053,24914.870768880104,40.67708352941182,-82.4878367058823,24268.341037169932
1200.0,40.744031029411765,-82.50717985294112,24088.6315381401,40.74403455882358,-82.50717191176466,23488.455625259925
1260.0,40.81098229411765,-82.52651452941171,23262.392307400092,40.81098558823534,-82.52650711764701,22708.570213349918
1320.0,40.877933558823536,-82.5458492058823,22436.153076660084,40.8779366176471,-82.54584232352937,22708.570213349918
1380.0,40.94488482352942,-82.5651838823529,21609.913845920077,40.94488764705886,-82.56517752941173,21928.68480143991
1440.0,41.011836088235306,-82.58451855882349,20783.67461518007,41.011838676470624,-82.58451273529408,21148.799389529904
1500.0,41.07878735294119,-82.60385323529408,19957.43538444006,41.078789705882386,-82.60384794117644,20368.913977619897
1560.0,41.145738617647076,-82.62318791176467,19131.196153700053,41.14574073529415,-82.6231831470588,19589.02856570989
1620.0,41.21268988235296,-82.64252258823527,18304.956922960046,41.21269176470591,-82.64251835294115,18809.143153799883
1680.0,41.27964114705885,-82.66185726470586,17478.717692220038,41.27964279411767,-82.66185355882351,18029.257741889876
1740.0,41.34659241176473,-82.68119194117645,16652.47846148003,41.34659382352943,-82.68118876470587,17249.37232997987
1800.0,41.41354367647062,-82.70052661764704,15826.239230740015,41.41354485294119,-82.70052397058822,17249.37232997987
1860.0,41.4804949411765,-82.71986129411763,15000.0,41.480495882352955,-82.71985917647058,16469.486918069862
1920.0,41.54744620588239,-82.73919597058823,15000.0,41.547446911764716,-82.73919438235293,16469.486918069862
1980.0,41.61439747058827,-82.75853064705882,15000.0,41.61439794117648,-82.75852958823529,16469.486918069862
2040.0,41.68134873529416,-82.77786532352941,15000.0,41.68134897058824,-82.77786479411765,15879.885411910014
2100.0,41.74830000000004,-82.7972,15000.0,41.7483,-82.7972,15100.0
