t,f1_lat,f1_lon,f1_alt_ft
0,43.09239653435184,-86.22098350157782,23000.0
60,43.045729867685175,-86.14898350157782,22000.0
120,42.99906320101851,-86.07698350157781,21000.0
180,42.95239653435184,-86.00498350157781,20000.0
240,42.90572986768495,-85.9329835015774,20000.0
300,42.85906320101828,-85.8609835015774,20000.0
360,42.81239653435161,-85.78898350157739,19000.0
420,42.765729867684946,-85.71698350157739,19000.000000999986
480,42.71906320101828,-85.64498350157739,18000.000000999982
540,42.67239653435161,-85.57298350157738,17000.00000099998
600,42.625729867684946,-85.50098350157738,16000.000000999977
660,42.57906320101828,-85.42898350157738,15000.000000999973
720,42.53239653435161,-85.35698350157737,14000.00000099997
780,42.57906320101851,-85.28498350157737,13000.000000999962
840,42.53239653435185,-85.21298350157737,12000.000000999955
900,42.48572986768518,-85.14098350157737,11000.000000999948
960,42.43906320101851,-85.06898350157736,10000.00000099994
1020,42.392396534351846,-84.99698350157736,9000.000000999933
1080,42.34572986768518,-84.92498350157736,9000.000000999933
1140,42.339533333333335,-84.85298350157736,8999.99999699992
1200,42.29286666666667,-84.78098350157735,8999.99999699992
1260,42.2462,-84.70898350157735,8999.999997999921
1320,42.199533333333335,-84.63698350157735,8999.999997999921
1380,42.15286666666667,-84.56498350157734,9999.999997999928
1440,42.1062,-84.51350000000001,9999.999997999928
1500,42.059533333333334,-84.4415,9999.999998999929
1560,42.01286666666667,-84.3695,10000.0
1620,41.9662,-84.2975,11000.0
1680,41.9662,-84.2975,11000.0
1740,41.9662,-84.29750000000004,11000.0
1800,41.9662,-84.29750000000011,11000.0
1860,41.9662,-84.29750000000018,11000.0
1920,41.9662,-84.2975,11000.0
1980,41.9662,-84.29749999999996,11000.0
2040,41.9662,-84.29749999999996,11000.0
2100,41.9662,-84.2975,11000.0
