recTime,acId,coord1,coord2,alt,groundSpeed,rateOfClimb,d_ts,t,x,y,z,fuel_flow,fuel_used,CO2_flow,H2O_flow,Soot_flow,SOx_flow,NOx_flow,CO_flow,HC_flow,CO2_emitted,H2O_emitted,Soot_emitted,SOx_emitted,NOx_emitted,CO_emitted,HC_emitted
2023-12-22 00:30:15,SWA3201_KBWItoKDTW,40.678174742189356,-80.77980736776364,33344.0,290.36,-500.0,0.0,0.0,217020.9768824403,-167365.68317343047,10163.2512,0.2413664189357065,0.0,762.7178838368326,296.880695290919,0.007240992568071195,0.2896397027228478,1.3606651198390114,5.64027612462582,0.5620418577140315,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-12-22 00:31:15,SWA3201_KBWItoKDTW,40.7319125382472,-80.85918816344767,32844.0,291.01,-500.0,60.0,60.0,210157.58946300988,-161588.72936686195,10010.851200000001,0.23975778145181087,14.385466887108652,757.6345893877224,294.9020711857274,0.007192733443554326,0.28770933774217305,1.3443600160099505,5.626721727659978,0.5610673814344396,45458.07536326334,17694.124271143643,0.43156400661325955,17.262560264530382,80.66160096059703,337.6033036595987,33.664042886066376
2023-12-22 00:32:15,SWA3201_KBWItoKDTW,40.78771447573149,-80.93634796968684,32344.0,291.65,-500.0,60.0,120.0,203485.36800699926,-155570.70866692654,9858.451200000001,0.23825098349207083,28.6805258966329,752.8731078349438,293.0487096952471,0.007147529504762124,0.285901180190485,1.3291738316138535,5.61134364718952,0.5598835192121243,90630.46183335996,35277.04685285847,0.8604157768989871,34.41663107595949,160.41203085742825,674.2839224909699,67.25705403879383
2023-12-22 00:33:15,SWA3201_KBWItoKDTW,40.80248742964528,-81.01199059246223,29656.0,295.1,-500.0,60.0,180.0,197074.51722539007,-154104.46535703327,9039.1488,0.2335353274287416,42.6926455423574,737.9716346748235,287.2484527373522,0.007006059822862248,0.28024239291448994,1.2815059408286282,5.5120523471470895,0.5513008082006692,134908.75991384938,52511.9540170996,1.280779366270722,51.23117465082888,237.30238730714595,1005.0070633197952,100.33510253083398
2023-12-22 00:34:15,SWA3201_KBWItoKDTW,40.863051007784684,-81.08504163387403,29156.0,295.74,-500.0,60.0,240.0,190751.33157541614,-147536.15949040907,8886.748800000001,0.2331376183618616,56.68090264406909,736.7148740234826,286.7592705850898,0.0069941285508558475,0.2797651420342339,1.2773347540440474,5.4923756698973465,0.5495105550273587,179111.65235525835,69717.51025220499,1.7004270793220728,68.01708317288292,313.9424725497888,1334.549603513636,133.3057358324755
2023-12-22 00:35:15,SWA3201_KBWItoKDTW,40.925593406343935,-81.15553936101846,28656.0,296.37,-500.0,60.0,300.0,184648.10205575844,-140736.9927350997,8734.3488,0.2329020544977412,70.65502591393357,735.9704922128623,286.46952703222166,0.006987061634932236,0.27948246539728944,1.2747116523704132,5.472820122224071,0.5477118638111884,223269.8818880301,86905.68187413829,2.119650777418007,84.78603109672028,390.4251716920136,1662.9188108470803,166.1684476611468
2023-12-22 00:36:15,SWA3201_KBWItoKDTW,40.796408065725615,-81.22527421349699,24656.0,301.4,500.0,60.0,360.0,179143.01808257462,-155246.63443730722,7515.1488,0.4404544648694467,97.08229380610038,1391.8361089874516,541.7589917894195,0.013213633946083402,0.528545357843336,3.9551299861543,3.0044929524442625,0.2702706839440289,306780.0484272772,119411.22138150346,2.912468814183011,116.49875256732044,627.7329708612716,1843.1883879937361,182.38468869778856
2023-12-22 00:37:15,SWA3201_KBWItoKDTW,40.863566048864755,-81.29100423727573,25156.0,300.78,-312.0,60.0,420.0,173433.60111920026,-147914.97302478083,7667.5488000000005,0.27120549125519766,113.35462328141224,857.0093523664247,333.58275424389313,0.008136164737655929,0.32544658950623717,1.6576247927557821,5.4009276975653675,0.5377931563976985,358200.60956926265,139426.18663613705,3.4006386984423664,136.02554793769468,727.1904584266185,2167.244049847658,214.65227808165048
2023-12-22 00:38:15,SWA3201_KBWItoKDTW,40.93236277242085,-81.35370877607211,24844.0,301.17,-500.0,60.0,480.0,167985.1565237767,-140390.8359450359,7572.4512,0.23645498033920775,127.54192210176471,747.1977378718965,290.8396258172255,0.007093649410176232,0.2837459764070493,1.3052791362575622,5.339667534142713,0.5350229520740422,403032.47384157643,156876.56418517057,3.8262576630529406,153.05030652211764,805.5072066020723,2487.624101896221,246.75365520609301
2023-12-22 00:39:15,SWA3201_KBWItoKDTW,41.002852874317995,-81.4134225467367,24344.0,301.79,-500.0,60.0,540.0,162794.24923272082,-132668.78279848123,7420.051200000001,0.2375406624304512,141.79436184759177,750.6284932802257,292.17501478945496,0.007126219872913535,0.2850487949165414,1.3151577867468658,5.324863733163361,0.5335673791596109,448070.18343838997,174407.06507253787,4.253830855427752,170.1532342171101,884.4166738068842,2807.1159258860225,278.7676979556697
2023-12-22 00:40:15,SWA3201_KBWItoKDTW,41.07499391255943,-81.47008372730404,23844.0,302.42,-500.0,60.0,600.0,157865.75827284393,-124753.95371612816,7267.6512,0.23878132995378354,156.12124164481878,754.549002653956,293.70103584315376,0.007163439898613506,0.28653759594454026,1.3265276455287576,5.310799465282379,0.53217314709825,493343.12359762733,192029.12722312709,4.683637249344563,187.34548997378252,964.0083325386097,3125.7638938029654,310.6980867815647
