t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft
0,39.47175240790911,-82.14025171480814,38615.59306899031,40.86920257296341,-80.6742174694934,36000.0
1,39.72175240790921,-82.21225171480815,37615.5930689903,40.86920257296341,-80.6742174694934,36000.0
2,39.97175240790921,-82.28425171480815,36615.59306899019,40.86920257296341,-80.6742174694934,36000.0
3,39.97175240790921,-82.35625171480815,35615.59306899018,40.86920257296341,-80.6742174694934,36000.0
4,40.173,-82.42825171480816,34615.59306899017,40.86920257296341,-80.6742174694934,36000.0
5,40.423,-82.50025171480816,33615.593068990165,40.86920257296341,-80.6742174694934,36000.0
6,40.673,-82.57225171480815,32615.593068990154,40.86920257296341,-80.6742174694934,36000.0
7,40.673,-82.64425171480815,31615.593068990143,40.86920257296341,-80.6742174694934,36000.0
8,40.923,-82.71625171480815,30615.59306899014,40.86920257296341,-80.6742174694934,36000.0
9,41.173,-82.78825171480815,29615.59306899013,40.86920257296341,-80.6742174694934,36000.0
10,41.173,-82.86025171480816,28615.593068990118,40.86920257296341,-80.6742174694934,36000.0
11,41.423,-82.86025171480816,27615.593068990107,40.86920257296341,-80.6742174694934,36000.0
12,41.673,-82.8685,26615.593068990092,40.86920257296341,-80.6742174694934,36000.0
13,41.673,-82.9405,25615.59306899007,40.86920257296341,-80.6742174694934,36000.0
14,41.673,-82.9405,25615.593068990085,40.86920257296341,-80.6742174694934,36000.0
15,41.673,-82.9405,25615.59306899007,40.86920257296341,-80.6742174694934,36000.0
16,41.673,-82.9405,25615.593068990056,40.86920257296341,-80.6742174694934,36000.0
17,41.673,-82.9405,25615.59306899007,41.11920257296341,-80.73729999999999,35000.0
18,41.673,-82.9405,25615.59306899007,41.11920257296341,-80.8093,34000.0
19,41.673,-82.9405,25615.59306899007,41.11920257296341,-80.8813,33000.0
20,41.673,-82.9405,25615.59306899007,41.11920257296341,-80.9533,32000.0
21,41.673,-82.9405,25615.59306899007,41.1665,-81.0253,31000.0
22,41.673,-82.9405,25615.593068990085,41.1665,-81.09729999999995,30000.0
23,41.673,-82.9405,25615.593068990085,41.4165,-81.16929999999995,29000.0
24,41.673,-82.9405,25615.593068990085,41.4165,-81.24129999999995,28000.0
25,41.673,-82.9405,25615.593068990114,41.4165,-81.31329999999996,27000.0
26,41.673,-82.9405,25615.593068990114,41.4165,-81.38529999999996,26000.0
27,41.673,-82.9405,25615.593068990085,41.4165,-81.45729999999996,25000.0
28,41.673,-82.9405,25615.593068990085,41.4165,-81.52929999999996,24000.0
29,41.673,-82.9405,25615.593068990085,41.4165,-81.60129999999997,23000.0
