t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft
0.0,40.67333,-80.76722,34000.0,43.08,-86.2251,37000.0
30.0,40.69315655172414,-80.83032275862068,33286.206896551725,43.066896666666665,-86.14960666666667,36213.333333333336
60.0,40.71298310344827,-80.89342551724137,32572.41379310345,43.05379333333333,-86.07411333333334,35426.666666666664
90.0,40.732809655172446,-80.95652827586214,31858.62068965516,43.040690000000005,-85.99861999999983,34640.0
120.0,40.75263620689658,-81.01963103448283,31144.827586206884,43.02758666666667,-85.9231266666665,33853.333333333336
150.0,40.77246275862072,-81.08273379310351,30431.03448275861,43.01448333333334,-85.84763333333318,33066.666666666664
180.0,40.792289310344856,-81.1458365517242,29717.241379310333,43.001380000000005,-85.77213999999985,32280.0
210.0,40.81211586206899,-81.20893931034489,29003.448275862058,42.98827666666667,-85.69664666666652,31493.333333333332
240.0,40.83194241379313,-81.27204206896558,28289.655172413783,42.97517333333334,-85.6211533333332,30706.666666666668
270.0,40.851768965517266,-81.33514482758626,27575.862068965507,42.962070000000004,-85.54565999999987,29920.0
300.0,40.8715955172414,-81.39824758620695,26862.068965517232,42.94896666666667,-85.47016666666654,29133.333333333332
330.0,40.89142206896554,-81.46135034482764,26148.275862068956,42.93586333333334,-85.39467333333322,28346.666666666668
360.0,40.911248620689676,-81.52445310344832,25434.48275862068,42.922760000000004,-85.31917999999989,27560.0
390.0,40.93107517241381,-81.58755586206901,24720.689655172406,42.90965666666667,-85.24368666666656,26773.333333333332
420.0,40.95090172413795,-81.6506586206897,24006.89655172413,42.89655333333334,-85.16819333333324,25986.666666666668
450.0,40.970728275862086,-81.71376137931038,23293.103448275855,42.88345,-85.09269999999991,25200.0
480.0,40.99055482758622,-81.77686413793107,22579.31034482758,42.87034666666667,-85.01720666666658,24413.333333333332
510.0,41.01038137931036,-81.83996689655176,21865.517241379304,42.85724333333334,-84.94171333333325,23626.666666666668
540.0,41.0302079310345,-81.90306965517244,21151.72413793103,42.84414,-84.86621999999993,22840.0
570.0,41.05003448275863,-81.96617241379313,20437.931034482754,42.83103666666667,-84.7907266666666,22053.333333333332
600.0,41.06986103448277,-82.02927517241382,19724.13793103448,42.817933333333336,-84.71523333333327,21266.666666666668
630.0,41.08968758620691,-82.0923779310345,19010.344827586203,42.80483,-84.63973999999995,20480.0
660.0,41.10951413793104,-82.15548068965519,18296.551724137928,42.79172666666667,-84.56424666666662,19693.333333333332
690.0,41.12934068965518,-82.21858344827588,17582.758620689652,42.778623333333336,-84.48875333333329,18906.666666666668
720.0,41.14916724137932,-82.28168620689657,16868.965517241377,42.76552,-84.41325999999997,18120.0
750.0,41.16899379310345,-82.34478896551725,16155.172413793101,42.75241666666667,-84.33776666666664,17333.333333333332
780.0,41.18882034482759,-82.40789172413794,15441.379310344826,42.739313333333335,-84.26227333333331,16546.666666666668
810.0,41.20864689655173,-82.47099448275863,14727.58620689655,42.72621,-84.18677999999998,15760.0
840.0,41.228473448275864,-82.53409724137931,14013.793103448275,42.71310666666667,-84.11128666666666,14973.333333333334
870.0,41.2483,-82.5972,13300.0,42.700003333333335,-84.03579333333333,14186.666666666666
900.0,41.7483,-82.7972,13000.0,42.6869,-83.9603,13400.0
