ident,lat,lon,waypoint_classes,area_codes,record_count
00LIH,23.34860556,-160.35078333,TERMINAL_WAYPOINT,PAC,1
00MKK,22.53797222,-156.18695833,TERMINAL_WAYPOINT,PAC,1
23LIH,23.66581111,-160.58662778,TERMINAL_WAYPOINT,PAC,1
50MKK,23.23556111,-155.68936389,TERMINAL_WAYPOINT,PAC,1
AAALL,42.12018889,-71.14176111,TERMINAL_WAYPOINT,USA,1
AAAME,37.77090833,-122.08281111,TERMINAL_WAYPOINT,USA,1
AAARG,32.69396389,-78.05129444,ENROUTE_WAYPOINT,USA,1
AAARN,34.28149722,-85.26817222,TERMINAL_WAYPOINT,USA,1
AABBZ,37.8735,-86.30871111,ENROUTE_WAYPOINT,USA,1
AABEE,34.06805556,-84.21436389,TERMINAL_WAYPOINT,USA,1
AABER,26.07277778,-81.33,ENROUTE_WAYPOINT,USA,1
AABEY,38.12292222,-85.51390833,TERMINAL_WAYPOINT,USA,1
AABEZ,44.78808333,-93.00471111,TERMINAL_WAYPOINT,USA,1
AABGL,38.24448333,-85.97403889,TERMINAL_WAYPOINT,USA,1
AABLE,40.17092778,-90.65886944,TERMINAL_WAYPOINT,USA,1
AACES,35.27208611,-97.14443889,ENROUTE_WAYPOINT,USA,1
AACEZ,34.55277778,-73.99666667,ENROUTE_WAYPOINT,USA,1
AADCO,39.78481944,-112.461825,ENROUTE_WAYPOINT,USA,1
AADDY,39.1968,-76.97340833,TERMINAL_WAYPOINT,USA,1
AADEN,31.54113333,-82.92853056,ENROUTE_WAYPOINT,USA,1
AADIE,39.88709167,-86.49233333,TERMINAL_WAYPOINT,USA,1
AADMS,42.585425,-71.318925,TERMINAL_WAYPOINT,USA,1
AADPO,-14.16876111,-170.96753333,ENROUTE_WAYPOINT,PAC,1
AAERO,39.59936944,-106.97944722,ENROUTE_WAYPOINT,USA,1
AAFRE,40.45011389,-79.91777222,ENROUTE_WAYPOINT,USA,1
AAGEE,40.02714167,-104.77826111,ENROUTE_WAYPOINT,USA,1
AAGIN,40.58311389,-88.31391111,ENROUTE_WAYPOINT,USA,1
AAHOY,28.57064444,-83.09790556,ENROUTE_WAYPOINT,USA,1
AAHZZ,29.73092778,-95.93166389,TERMINAL_WAYPOINT,USA,1
AAIRE,35.14626944,-81.06231389,TERMINAL_WAYPOINT,USA,1
AAIRR,38.56909167,-79.1435,ENROUTE_WAYPOINT,USA,1
AAITT,61.61371944,-149.89802778,ENROUTE_WAYPOINT,CAN,1
AAJAE,32.43921944,-93.62228611,ENROUTE_WAYPOINT,USA,1
AAJAY,38.93265556,-84.54040556,TERMINAL_WAYPOINT,USA,1
AAKAY,33.63417222,-84.7933,TERMINAL_WAYPOINT,USA,1
AALAN,36.58871944,-113.91835833,TERMINAL_WAYPOINT,USA,1
AALEX,33.05354722,-80.34076944,TERMINAL_WAYPOINT,USA,1
AALII,35.06333056,-92.00283889,ENROUTE_WAYPOINT,USA,1
AALIX,48.50441389,-121.75634722,ENROUTE_WAYPOINT,USA,1
AALLE,40.453425,-103.75699722,TERMINAL_WAYPOINT,USA,1
AALNG,45.76128611,-110.87349722,TERMINAL_WAYPOINT,USA,1
AALYS,44.67318056,-69.06966111,ENROUTE_WAYPOINT,USA,1
AAMBR,37.72611667,-92.64953056,TERMINAL_WAYPOINT,USA,1
AAMEE,41.81989444,-87.89577778,TERMINAL_WAYPOINT,USA,1
AAMMO,35.10631111,-79.75926667,ENROUTE_WAYPOINT,USA,1
AAMOS,30.51497222,-81.97505556,ENROUTE_WAYPOINT,USA,1
AAMYY,51.39993056,171.55372778,ENROUTE_WAYPOINT,PAC,1
AANAH,44.39458333,-93.34582222,TERMINAL_WAYPOINT,USA,1
AANDD,34.41194722,-97.14493889,TERMINAL_WAYPOINT,USA,1
AANDI,30.41151667,-88.918825,ENROUTE_WAYPOINT,USA,1
AANDY,41.82166667,-96.06527778,ENROUTE_WAYPOINT,USA,1
AANET,38.53076944,-122.49719444,TERMINAL_WAYPOINT,USA,1
AANNE,36.35170556,-121.36366944,TERMINAL_WAYPOINT,USA,1
AANNN,37.59638889,-77.22688056,TERMINAL_WAYPOINT,USA,1
AANTS,38.71865556,-78.46264722,ENROUTE_WAYPOINT,USA,1
AANZA,43.76293333,-91.48561667,TERMINAL_WAYPOINT,USA,1
AARBY,38.81660278,-90.67375556,TERMINAL_WAYPOINT,USA,1
AARCH,39.09361111,-89.1625,TERMINAL_WAYPOINT,USA,1
AARCI,33.57713056,-117.04472222,ENROUTE_WAYPOINT,USA,1
AAREE,32.44313611,-93.61806667,ENROUTE_WAYPOINT,USA,1
AAREN,36.511025,-78.95784722,TERMINAL_WAYPOINT,USA,1
AARES,20.99861111,-157.095,ENROUTE_WAYPOINT,PAC,1
AARGH,34.89306944,-99.90773056,TERMINAL_WAYPOINT,USA,1
AARIN,39.92027778,-86.22111111,ENROUTE_WAYPOINT,USA,1
AARNN,36.378775,-78.01779167,ENROUTE_WAYPOINT,USA,1
AARON,43.40038611,-122.70099167,TERMINAL_WAYPOINT,USA,1
AARPS,26.70675833,-80.27091111,TERMINAL_WAYPOINT,USA,1
AARTA,34.60591389,-87.27354167,TERMINAL_WAYPOINT,USA,1
AARUN,33.73481944,-66.26180833,ENROUTE_WAYPOINT,USA,1
AARWX,26.64470833,-80.34123056,ENROUTE_WAYPOINT,USA,1
AASEN,45.82989722,-122.61190278,ENROUTE_WAYPOINT,USA,1
AASON,40.8617,-115.61266111,TERMINAL_WAYPOINT,USA,1
AASPN,34.26820278,-117.03265556,ENROUTE_WAYPOINT,USA,1
AASTN,37.08846111,-80.71146944,ENROUTE_WAYPOINT,USA,1
AASUM,43.66647222,-70.23261389,ENROUTE_WAYPOINT,USA,1
AASUN,44.90767778,-93.25504444,TERMINAL_WAYPOINT,USA,1
AATAT,33.16720833,-83.43720278,TERMINAL_WAYPOINT,USA,1
AATRE,21.21973611,-157.92191944,ENROUTE_WAYPOINT,PAC,1
AAVON,39.76423889,-108.13601944,ENROUTE_WAYPOINT,USA,1
AAVVA,37.60746111,-77.39639444,TERMINAL_WAYPOINT,USA,1
AAYDE,43.24234167,-90.849275,ENROUTE_WAYPOINT,USA,1
AAYES,39.72000278,-105.07870833,TERMINAL_WAYPOINT,USA,1
AAYJY,33.68554722,-118.172375,TERMINAL_WAYPOINT,USA,1
AAYRR,46.64681944,-123.72238889,TERMINAL_WAYPOINT,USA,1
ABASN,38.99665833,-106.58103333,TERMINAL_WAYPOINT,USA,1
ABSAW,44.032075,-93.88008889,ENROUTE_WAYPOINT,USA,1
ACABE,36.29372778,-82.32411944,TERMINAL_WAYPOINT,USA,1
ACACE,44.63203611,-96.04200278,TERMINAL_WAYPOINT,USA,1
ACACO,41.89962222,-111.84167778,TERMINAL_WAYPOINT,USA,1
ACADI,38.9283,-78.25307222,ENROUTE_WAYPOINT,USA,1
ACADN,44.66666667,-64.0,ENROUTE_WAYPOINT,CAN,1
ACADO,32.67393056,-97.60716944,TERMINAL_WAYPOINT,USA,1
ACAFI,46.36520556,-114.12180556,TERMINAL_WAYPOINT,USA,1
ACAFO,42.76525556,-75.51999722,TERMINAL_WAYPOINT,USA,1
ACAGI,40.43227778,-106.84273333,ENROUTE_WAYPOINT,USA,1
ACAGO,39.62120556,-111.86966111,TERMINAL_WAYPOINT,USA,1
ACAGU,36.81620556,-103.19526389,ENROUTE_WAYPOINT,USA,1
ACAKO,47.24790278,-104.95997222,ENROUTE_WAYPOINT,USA,1
ACALE,35.60876111,-90.11333333,ENROUTE_WAYPOINT,USA,1
ACANO,46.25531389,-84.63014167,TERMINAL_WAYPOINT,USA,1
