ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
AAARN,34.28149722222222,-85.26817222222222,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KATL,N34165339W085160542,SUSAP KATLK7CAAARN K70    W     N34165339W085160542                       W0051     NAR           AAARN                    242842605,124288
AADEN,31.541133333333335,-82.92853055555555,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N31322808W082554271,SUSAEAENRT   AADEN K70    W     N31322808W082554271                       W0063     NAR           AADEN                    271712605,27176
AARTA,34.60591388888889,-87.27354166666666,TERMINAL_WAYPOINT,USA,SUSAP,P,C,9A4,N34362129W087162475,SUSAP 9A4 K7CAARTA K70    W     N34362129W087162475                       W0038     NAR           AARTA                    042222605,104226
AATAT,33.16720833333333,-83.43720277777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KATL,N33100195W083261393,SUSAP KATLK7CAATAT K70    W     N33100195W083261393                       W0062     NAR           AATAT                    242862605,124290
ACMAN,35.069075000000005,-85.58026111111111,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35040867W085344894,SUSAEAENRT   ACMAN K70    W     N35040867W085344894                       W0049     NAR           ACMAN                    272392403,27244
ACORI,31.773155555555554,-85.85819722222222,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N31462336W085512951,SUSAEAENRT   ACORI K70    W     N31462336W085512951                       W0044     NAR           ACORI                    272532504,27258
ACPAJ,34.038666666666664,-85.14121944444445,TERMINAL_WAYPOINT,USA,SUSAP,P,C,4A4,N34021920W085082839,SUSAP 4A4 K7CACPAJ K70    R     N34021920W085082839                       W0051     NAR           ACPAJ                    925772504,92582
ADAPT,31.22985,-83.19288055555556,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N31134746W083113437,SUSAEAENRT   ADAPT K70    W     N31134746W083113437                       W0061     NAR           ADAPT-MIL                272902605,27295
ADETE,34.90186944444444,-85.325475,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N34540673W085193171,SUSAEAENRT   ADETE K70    W     N34540673W085193171                       W0051     NAR           ADETE                    273132605,27318
ADEYU,35.971113888888894,-85.82564722222222,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35581601W085493233,SUSAEAENRT   ADEYU K70    W     N35581601W085493233                       W0049     NAR           ADEYU                    273172605,27322
ADIAN,35.575808333333335,-84.51195,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35343291W084304302,SUSAEAENRT   ADIAN K70    W     N35343291W084304302                       W0057     NAR           ADIAN                    273192504,27324
ADNOY,35.924841666666666,-85.19423611111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCSV,N35552943W085113925,SUSAP KCSVK7CADNOY K70    W     N35552943W085113925                       W0053     NAR           ADNOY                    576312605,157635
ADONY,32.52455555555555,-85.43611111111112,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N32312840W085261000,SUSAEAENRT   ADONY K70    W     N32312840W085261000                       W0048     NAR           ADONY(CNF)               273352605,27340
ADZIN,33.176941666666664,-86.38227777777777,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N33103699W086225620,SUSAEAENRT   ADZIN K70    R   L N33103699W086225620                       W0042     NAR           ADZIN                    273582504,27363
ADZUY,31.883475,-85.12780833333332,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KEUF,N31530051W085074011,SUSAP KEUFK7CADZUY K70    R     N31530051W085074011                       W0049     NAR           ADZUY                    850162504,185020
AFENY,32.016225,-85.118275,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N32005841W085070579,SUSAEAENRT   AFENY K70    R     N32005841W085070579                       W0050     NAR           AFENY                    273702605,27375
AFLUC,31.384080555555556,-85.52881944444444,TERMINAL_WAYPOINT,USA,SUSAP,P,C,71J,N31230269W085314375,SUSAP 71J K7CAFLUC K70    W     N31230269W085314375                       W0046     NAR           AFLUC                    999452504,99950
AFUFI,31.77168611111111,-83.25117777777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KFZG,N31461807W083150424,SUSAP KFZGK7CAFUFI K70    W     N31461807W083150424                       W0061     NAR           AFUFI                    970032504,197007
AGUME,31.999361111111114,-83.88175,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCKF,N31595770W083525430,SUSAP KCKFK7CAGUME K70    W     N31595770W083525430                       W0058     NAR           AGUME                    497362605,149740
AGURY,36.02938611111111,-85.72362777777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,0A3,N36014579W085432506,SUSAP 0A3 K7CAGURY K70    W     N36014579W085432506                       W0049     NAR           AGURY                    803092403,80314
AGUVE,33.96814444444445,-81.24808333333334,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCAE,N33580532W081145310,SUSAP KCAEK7CAGUVE K70    C     N33580532W081145310                       W0076     NAR           AGUVE                    445252403,144529
AILEY,32.297180555555556,-82.66820277777778,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N32174985W082400553,SUSAEAENRT   AILEY K70    R   L N32174985W082400553                       W0066     NAR           AILEY                    274652605,27470
AIRMN,32.52381111111111,-85.77296388888888,TERMINAL_WAYPOINT,USA,SUSAP,P,C,06A,N32312572W085462267,SUSAP 06A K7CAIRMN K70    W     N32312572W085462267                       W0046     NAR           AIRMN                    791582605,79163
AJDUX,32.93664722222222,-85.03701111111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,7A3,N32561193W085021324,SUSAP 7A3 K7CAJDUX K70    W     N32561193W085021324                       W0051     NAR           AJDUX                    006812605,100685
AJOXO,31.752891666666667,-86.39060833333335,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KPRN,N31451041W086232619,SUSAP KPRNK7CAJOXO K70    W     N31451041W086232619                       W0041     NAR           AJOXO                    924362605,292439
AKBEH,35.36116944444444,-84.69741388888889,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35214021W084415069,SUSAEAENRT   AKBEH K70    W     N35214021W084415069                       W0056     NAR           AKBEH                    275082605,27513
AKERS,32.23424444444444,-85.87951944444444,TERMINAL_WAYPOINT,USA,SUSAP,P,C,07A,N32140328W085524627,SUSAP 07A K7CAKERS K70    W     N32140328W085524627                       W0045     NAR           AKERS                    794692605,79474
AKGOS,33.107225,-87.03067777777778,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N33062601W087015044,SUSAEAENRT   AKGOS K70    W     N33062601W087015044                       W0038     NAR           AKGOS                    275192605,27524
AKOYU,35.55622222222222,-85.23279722222222,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35332240W085135807,SUSAEAENRT   AKOYU K70    W     N35332240W085135807                       W0052     NAR           AKOYU                    275282504,27533
AKUCU,35.491036111111114,-86.03067222222222,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N35292773W086015042,SUSAEAENRT   AKUCU K70    W     N35292773W086015042                       W0047     NAR           AKUCU-MIL                275312605,27536
ALADY,35.43671388888889,-83.25732777777777,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KATL,N35261217W083152638,SUSAP KATLK7CALADY K70    W     N35261217W083152638                       W0065     NAR           ALADY                    242892403,124293
ALBER,34.37275,-86.32724166666667,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N34222190W086193807,SUSAEAENRT   ALBER K70    R   L N34222190W086193807                       W0044     NAR           ALBER                    275542605,27559
