ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
ACAPO,41.44268888888889,-81.80579444444444,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCLE,N41263368W081482086,SUSAP KCLEK5CACAPO K50    W     N41263368W081482086                       W0082     NAR           ACAPO                    500252504,150029
ACATI,43.724183333333336,-83.79592777777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,3CM,N43432706W083474534,SUSAP 3CM K5CACATI K50    W     N43432706W083474534                       W0072     NAR           ACATI                    893732504,89378
ACIBE,40.84668055555556,-85.54661944444445,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KIWH,N40504805W085324783,SUSAP KIWHK5CACIBE K50    W     N40504805W085324783                       W0056     NAR           ACIBE                    270812605,227084
ACIDS,40.181713888888886,-83.44706388888889,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N40105417W083264943,SUSAEAENRT   ACIDS K50    W     N40105417W083264943                       W0070     NAR           ACIDS                    272262605,27231
ACISA,40.839397222222225,-85.39204166666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KFWA,N40502183W085233135,SUSAP KFWAK5CACISA K50    R     N40502183W085233135                       W0057     NAR           ACISA                    954252403,195429
ACNOP,42.93877777777777,-85.18241111111112,TERMINAL_WAYPOINT,USA,SUSAP,P,C,Y70,N42561960W085105668,SUSAP Y70 K5CACNOP K50    W     N42561960W085105668                       W0061     NAR           ACNOP                    572012201,357203
ACOTI,40.64494722222222,-86.051875,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KIWH,N40384181W086030675,SUSAP KIWHK5CACOTI K50    W     N40384181W086030675                       W0052     NAR           ACOTI                    270822403,227085
ACUZI,41.20068611111111,-85.47207777777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KASW,N41120247W085281948,SUSAP KASWK5CACUZI K50    R     N41120247W085281948                       W0057     NAR           ACUZI                    240422605,124046
ADALE,42.853011111111115,-86.01099166666667,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42511084W086003957,SUSAEAENRT   ADALE K50    R   H N42511084W086003957                       W0055     NAR           ADALE                    272862304,27291
ADDDY,41.88941944444444,-86.27506111111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,C20,N41532191W086163022,SUSAP C20 K5CADDDY K50    W     N41532191W086163022                       W0052     NAR           ADDDY                    057702605,105774
ADECI,40.87173055555556,-86.05655833333333,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KIWH,N40521823W086032361,SUSAP KIWHK5CADECI K50    W     N40521823W086032361                       W0052     NAR           ADECI                    270832403,227086
ADEVE,41.16045555555555,-83.49860277777778,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41093764W083295497,SUSAEAENRT   ADEVE K50    W     N41093764W083295497                       W0070     NAR           ADEVE                    273142504,27319
ADIME,41.95635,-86.21430833333334,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41572286W086125151,SUSAEAENRT   ADIME K50    W     N41572286W086125151                       W0052     NAR           ADIME                    273222512,27327
ADIYI,42.12853888888889,-86.54865277777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KBEH,N42074274W086325515,SUSAP KBEHK5CADIYI K50    W     N42074274W086325515                       W0050     NAR           ADIYI                    314402512,131444
ADRIE,42.95827777777778,-83.11384444444444,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42572980W083064984,SUSAEAENRT   ADRIE K50    W   L N42572980W083064984                       W0076     NAR           ADRIE                    273422012,27347
ADUMS,40.022841666666665,-85.33394722222222,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KMIE,N40012223W085200221,SUSAP KMIEK5CADUMS K50    W     N40012223W085200221                       W0056     NAR           ADUMS                    583662605,258369
