ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
AANZA,43.762933333333336,-91.48561666666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCHU,N43454656W091290822,SUSAP KCHUK3CAANZA K30    W     N43454656W091290822                       W0014     NAR           AANZA                    490042403,149008
AAYDE,43.24234166666667,-90.84927499999999,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43143243W090505739,SUSAEAENRT   AAYDE K50    W   L N43143243W090505739                       W0019     NAR           AAYDE                    271982605,27203
ABSAW,44.032075,-93.88008888888888,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N44015547W093524832,SUSAEAENRT   ABSAW K30    W     N44015547W093524832                       E0004     NAR           ABSAW                    271992504,27204
ACACE,44.63203611111111,-96.04200277777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCNB,N44375533W096023121,SUSAP KCNBK3CACACE K30    W     N44375533W096023121                       E0020     NAR           ACACE                    534302605,153434
ACOCO,43.79261111111111,-91.23850833333333,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43473340W091141863,SUSAEAENRT   ACOCO K50    W     N43473340W091141863                       W0016     NAR           ACOCO                    272432410,27248
ACOSU,43.623441666666665,-94.30971388888888,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43372439W094183497,SUSAEAENRT   ACOSU K30    W     N43372439W094183497                       E0007     NAR           ACOSU                    272552605,27260
ADAMZ,43.94228333333333,-89.98176666666667,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43563222W089585436,SUSAEAENRT   ADAMZ K50    R     N43563222W089585436                       W0026     NAR           ADAMZ-MIL                272882403,27293
ADCIN,47.16350555555555,-93.48915555555556,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N47094862W093292096,SUSAEAENRT   ADCIN K30    W   L N47094862W093292096                       W0001     NAR           ADCIN                    272942403,27299
ADEME,43.611780555555555,-93.22495833333333,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43364241W093132985,SUSAEAENRT   ADEME K30    W     N43364241W093132985                       W0001     NAR           ADEME                    273072605,27312
ADGEW,43.20925833333334,-93.44074166666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KMCW,N43123333W093262667,SUSAP KMCWK3CADGEW K30    W     N43123333W093262667                       E0001     NAR           ADGEW                    516312605,251634
ADIER,47.027683333333336,-93.44306388888889,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KGPZ,N47013966W093263503,SUSAP KGPZK3CADIER K30    W     N47013966W093263503                       W0001     NAR           ADIER                    035732403,203576
AGHOD,45.208325,-91.62230555555554,TERMINAL_WAYPOINT,USA,SUSAP,P,C,Y23,N45122997W091372030,SUSAP Y23 K5CAGHOD K50    W     N45122997W091372030                       W0014     NAR           AGHOD                    568702304,356872
