ident,lat,lon,waypoint_class,area_code,record_type,section_code,subsection_code,airport_or_enroute,coord_raw,raw_record,line_number
AADIE,39.88709166666666,-86.49233333333333,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KIND,N39531353W086293240,SUSAP KINDK5CAADIE K50    W     N39531353W086293240                       W0048     NAR           AADIE                    242082504,224211
AAGIN,40.58311388888889,-88.31391111111111,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N40345921W088185008,SUSAEAENRT   AAGIN K50    W   L N40345921W088185008                       W0035     NAR           AAGIN                    271752403,27180
AARIN,39.92027777777778,-86.22111111111111,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N39551300W086131600,SUSAEAENRT   AARIN K50    W     N39551300W086131600                       W0050     NAR           AARIN                    271892605,27194
AAYDE,43.24234166666667,-90.84927499999999,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43143243W090505739,SUSAEAENRT   AAYDE K50    W   L N43143243W090505739                       W0019     NAR           AAYDE                    271982605,27203
ACATA,41.367583333333336,-88.81778333333332,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41220330W088490402,SUSAEAENRT   ACATA K50    W     N41220330W088490402                       W0032     NAR           ACATA                    272092403,27214
ACECE,41.82074444444445,-89.86856666666667,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41491468W089520684,SUSAEAENRT   ACECE K50    W     N41491468W089520684                       W0025     NAR           ACECE                    272142504,27219
ACEHY,41.105325,-87.08208611111111,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41061917W087045551,SUSAEAENRT   ACEHY K50    W     N41061917W087045551                       W0045     NAR           ACEHY                    272152403,27220
ACEMI,42.114586111111116,-90.19880833333333,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KSFY,N42065251W090115571,SUSAP KSFYK5CACEMI K30    W     N42065251W090115571                       W0023     NAR           ACEMI                    143522605,314354
ACEPU,43.25244444444444,-88.12523888888889,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43150880W088073086,SUSAEAENRT   ACEPU K50    W     N43150880W088073086                       W0040     NAR           ACEPU                    272202605,27225
ACHED,43.318936111111114,-87.85224166666666,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43190817W087510807,SUSAEAENRT   ACHED K50    W     N43190817W087510807                       W0042     NAR           ACHED                    272242605,27229
ACIBE,40.84668055555556,-85.54661944444445,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KIWH,N40504805W085324783,SUSAP KIWHK5CACIBE K50    W     N40504805W085324783                       W0056     NAR           ACIBE                    270812605,227084
ACIDU,42.76128333333333,-88.62611666666666,TERMINAL_WAYPOINT,USA,SUSAP,P,C,57C,N42454062W088373402,SUSAP 57C K5CACIDU K50    W     N42454062W088373402                       W0035     NAR           ACIDU                    957962403,95801
ACISA,40.839397222222225,-85.39204166666667,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KFWA,N40502183W085233135,SUSAP KFWAK5CACISA K50    R     N40502183W085233135                       W0057     NAR           ACISA                    954252403,195429
ACIYU,39.84520555555556,-85.78158055555555,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KUMP,N39504274W085465369,SUSAP KUMPK5CACIYU K50    W     N39504274W085465369                       W0053     NAR           ACIYU                    377692505,337771
ACNOP,42.93877777777777,-85.18241111111112,TERMINAL_WAYPOINT,USA,SUSAP,P,C,Y70,N42561960W085105668,SUSAP Y70 K5CACNOP K50    W     N42561960W085105668                       W0061     NAR           ACNOP                    572012201,357203
ACOLU,43.22916666666667,-88.83080555555556,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43134500W088495090,SUSAEAENRT   ACOLU K50    W     N43134500W088495090                       W0034     NAR           ACOLU                    272472403,27252
ACOTI,40.64494722222222,-86.051875,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KIWH,N40384181W086030675,SUSAP KIWHK5CACOTI K50    W     N40384181W086030675                       W0052     NAR           ACOTI                    270822403,227085
ACUZI,41.20068611111111,-85.47207777777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KASW,N41120247W085281948,SUSAP KASWK5CACUZI K50    R     N41120247W085281948                       W0057     NAR           ACUZI                    240422605,124046
ACXIY,39.85811388888889,-88.04554999999999,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N39512921W088024398,SUSAEAENRT   ACXIY K50    W     N39512921W088024398                       W0037     NAR           ACXIY(CNF)               272792605,27284
ADALE,42.853011111111115,-86.01099166666667,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42511084W086003957,SUSAEAENRT   ADALE K50    R   H N42511084W086003957                       W0055     NAR           ADALE                    272862304,27291
ADAMZ,43.94228333333333,-89.98176666666667,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N43563222W089585436,SUSAEAENRT   ADAMZ K50    R     N43563222W089585436                       W0026     NAR           ADAMZ-MIL                272882403,27293
ADARE,41.826975000000004,-89.551,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41493711W089330360,SUSAEAENRT   ADARE K50    W     N41493711W089330360                       W0027     NAR           ADARE                    272912403,27296
ADDDY,41.88941944444444,-86.27506111111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,C20,N41532191W086163022,SUSAP C20 K5CADDDY K50    W     N41532191W086163022                       W0052     NAR           ADDDY                    057702605,105774
ADECI,40.87173055555556,-86.05655833333333,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KIWH,N40521823W086032361,SUSAP KIWHK5CADECI K50    W     N40521823W086032361                       W0052     NAR           ADECI                    270832403,227086
ADELE,43.180752777777776,-87.8547111111111,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KMKE,N43105071W087511696,SUSAP KMKEK5CADELE K50    C     N43105071W087511696                       W0042     NAR           ADELE                    591972605,259200
ADELL,41.249722222222225,-88.25,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41145900W088150000,SUSAEAENRT   ADELL K50    W     N41145900W088150000                       W0036     NAR           ADELL                    273062304,27311
ADENE,42.728122222222225,-90.46820555555556,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42434124W090280554,SUSAEAENRT   ADENE K50    W     N42434124W090280554                       W0021     NAR           ADENE                    273092403,27314
ADEYO,42.961400000000005,-89.4321,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N42574104W089255556,SUSAEAENRT   ADEYO K50    W     N42574104W089255556                       W0029     NAR           ADEYO                    273162403,27321
ADIKE,41.74835,-90.25340277777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KCWI,N41445406W090151225,SUSAP KCWIK3CADIKE K50    W     N41445406W090151225                       W0022     NAR           ADIKE                    607632504,160767
ADIME,41.95635,-86.21430833333334,ENROUTE_WAYPOINT,USA,SUSAE,E,A,ENRT,N41572286W086125151,SUSAEAENRT   ADIME K50    W     N41572286W086125151                       W0052     NAR           ADIME                    273222512,27327
ADIYI,42.12853888888889,-86.54865277777778,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KBEH,N42074274W086325515,SUSAP KBEHK5CADIYI K50    W     N42074274W086325515                       W0050     NAR           ADIYI                    314402512,131444
ADLER,40.72504166666667,-89.80513055555555,TERMINAL_WAYPOINT,USA,SUSAP,P,C,KPIA,N40433015W089481847,SUSAP KPIAK5CADLER K50    R     N40433015W089481847                       W0025     NAR           ADLER                    881212605,288124
