t,f_lat,f_lon,f_alt_ft
0,39.47195669419985,-82.13982072706742,34843.47016433779
60,39.63265277888547,-82.21182072706742,33843.470164337785
120,39.73753653285703,-82.27590563618396,32843.470164337785
180,39.85090235783372,-82.33999054530057,31843.47016433777
240,40.10090235783372,-82.41199054530055,30843.47016433777
300,40.21426818281041,-82.47607545441716,29843.47016433777
360,40.46426818281041,-82.54807545441716,28843.470164337767
420,40.71426818281041,-82.62007545441716,27843.470164337763
480,40.84614400128381,-82.69207545441716,26843.47016433776
540,40.95950982626047,-82.75616036353382,25843.470164337756
600,41.173,-82.7965,24843.47016433775
660,41.423,-82.8685,23843.470164337716
720,41.673,-82.9405,22843.47016433766
