region_id,n_pixels,min_lat,max_lat,min_lon,max_lon,centroid_lat,centroid_lon
1,26,44.510000,44.555000,-81.645000,-81.630000,44.535577,-81.638462
13,8,44.485000,44.495000,-84.860000,-84.845000,44.490000,-84.853750
14,5,44.485000,44.490000,-84.815000,-84.800000,44.489000,-84.809000
18,6,44.405000,44.415000,-85.065000,-85.055000,44.408333,-85.059167
25,19,44.360000,44.395000,-81.290000,-81.270000,44.375526,-81.278684
29,54,44.325000,44.370000,-81.220000,-81.180000,44.350370,-81.200278
33,234,44.260000,44.355000,-81.335000,-81.195000,44.299530,-81.264209
34,10,44.330000,44.350000,-81.175000,-81.160000,44.338500,-81.168000
49,26,44.200000,44.235000,-81.155000,-81.120000,44.220192,-81.137115
60,9,44.185000,44.200000,-81.110000,-81.095000,44.193333,-81.103333
66,1837,43.910000,44.180000,-83.270000,-82.825000,44.014842,-83.077964
72,14,44.135000,44.155000,-83.295000,-83.270000,44.144286,-83.282143
86,167,44.050000,44.135000,-82.725000,-82.640000,44.091766,-82.677006
87,270,44.015000,44.130000,-83.380000,-83.280000,44.073352,-83.331556
88,12,44.110000,44.125000,-83.290000,-83.265000,44.118750,-83.276667
90,11,44.105000,44.120000,-82.485000,-82.465000,44.111364,-82.473182
106,25,44.065000,44.085000,-82.505000,-82.435000,44.073800,-82.469800
113,13,44.050000,44.070000,-83.275000,-83.255000,44.062692,-83.264615
119,76,43.990000,44.050000,-82.660000,-82.570000,44.015000,-82.618158
124,31,44.020000,44.045000,-82.835000,-82.795000,44.033871,-82.816613
126,6,44.040000,44.045000,-82.630000,-82.615000,44.042500,-82.622500
140,23,44.010000,44.035000,-82.425000,-82.395000,44.024348,-82.409130
149,10,44.010000,44.020000,-82.490000,-82.470000,44.013500,-82.480000
150,228,43.905000,44.015000,-82.600000,-82.415000,43.961601,-82.507697
151,9,44.000000,44.010000,-83.430000,-83.405000,44.003889,-83.416667
172,26,43.920000,43.950000,-83.090000,-83.055000,43.935385,-83.074423
177,25,43.905000,43.930000,-82.620000,-82.575000,43.919000,-82.597600
178,853,43.750000,43.930000,-81.885000,-81.695000,43.822128,-81.781970
180,147,43.860000,43.925000,-83.360000,-83.230000,43.891497,-83.293163
182,14,43.910000,43.920000,-83.120000,-83.080000,43.915714,-83.100357
191,7,43.890000,43.905000,-82.620000,-82.610000,43.898571,-82.614286
210,6,43.870000,43.875000,-83.235000,-83.215000,43.874167,-83.223333
212,5,43.860000,43.870000,-83.265000,-83.255000,43.865000,-83.259000
216,6,43.845000,43.850000,-83.300000,-83.290000,43.847500,-83.295000
220,5,43.835000,43.845000,-82.500000,-82.495000,43.840000,-82.497000
221,95,43.795000,43.840000,-83.605000,-83.500000,43.812158,-83.546053
225,17,43.815000,43.830000,-80.710000,-80.680000,43.822059,-80.695294
230,19,43.790000,43.815000,-80.615000,-80.595000,43.800263,-80.602105
233,16,43.785000,43.805000,-80.685000,-80.660000,43.796562,-80.673750
242,5,43.770000,43.780000,-81.705000,-81.695000,43.775000,-81.700000
255,33,43.705000,43.740000,-82.430000,-82.380000,43.721364,-82.402424
256,6,43.730000,43.740000,-80.500000,-80.490000,43.734167,-80.493333
261,7,43.700000,43.710000,-80.400000,-80.390000,43.704286,-80.393571
276,6,43.660000,43.680000,-83.835000,-83.830000,43.670000,-83.832500
277,8,43.660000,43.680000,-83.815000,-83.805000,43.670000,-83.811250
282,6,43.665000,43.675000,-83.755000,-83.745000,43.671667,-83.751667
284,6,43.670000,43.675000,-80.395000,-80.380000,43.672500,-80.387500
286,6,43.660000,43.670000,-82.365000,-82.355000,43.665000,-82.359167
287,9,43.650000,43.665000,-83.800000,-83.785000,43.657778,-83.791111
289,12,43.650000,43.665000,-83.770000,-83.740000,43.656667,-83.756667
303,12,43.630000,43.650000,-83.750000,-83.730000,43.641250,-83.741667
307,9,43.635000,43.645000,-83.800000,-83.780000,43.640000,-83.790556
309,41,43.610000,43.645000,-81.075000,-81.035000,43.626585,-81.056951
312,25,43.615000,43.640000,-82.400000,-82.370000,43.630600,-82.385600
318,12,43.610000,43.630000,-83.840000,-83.810000,43.620000,-83.824583
321,6,43.620000,43.630000,-83.790000,-83.775000,43.625000,-83.782500
324,5,43.625000,43.630000,-83.405000,-83.390000,43.627000,-83.397000
325,17,43.600000,43.625000,-83.805000,-83.775000,43.611765,-83.791765
326,6,43.615000,43.625000,-83.760000,-83.745000,43.620000,-83.752500
340,75,43.545000,43.615000,-83.865000,-83.780000,43.583067,-83.825667
364,12,43.590000,43.600000,-83.815000,-83.790000,43.595833,-83.802500
367,29,43.575000,43.600000,-83.500000,-83.460000,43.588621,-83.478793
376,24,43.565000,43.590000,-83.890000,-83.850000,43.578125,-83.869167
409,6,43.560000,43.570000,-83.740000,-83.730000,43.566667,-83.735833
415,9,43.555000,43.570000,-82.235000,-82.215000,43.563333,-82.224444
416,50,43.520000,43.570000,-81.020000,-80.975000,43.548500,-80.997700
419,51,43.505000,43.565000,-83.895000,-83.840000,43.539216,-83.866569
422,23,43.535000,43.565000,-83.520000,-83.485000,43.549565,-83.501522
423,22,43.540000,43.565000,-83.490000,-83.460000,43.552955,-83.475000
426,53,43.520000,43.560000,-83.945000,-83.895000,43.541132,-83.918774
441,7,43.540000,43.550000,-83.790000,-83.775000,43.545714,-83.782143
446,7,43.535000,43.550000,-80.800000,-80.790000,43.542857,-80.795714
454,6,43.535000,43.545000,-83.560000,-83.550000,43.539167,-83.555833
462,6,43.525000,43.535000,-83.760000,-83.750000,43.529167,-83.755833
463,1314,43.355000,43.535000,-83.945000,-83.500000,43.427679,-83.696286
468,6,43.520000,43.530000,-83.825000,-83.810000,43.526667,-83.815833
485,20,43.485000,43.515000,-83.940000,-83.915000,43.500500,-83.927000
500,6,43.500000,43.510000,-80.765000,-80.750000,43.505000,-80.757500
503,7,43.495000,43.505000,-83.890000,-83.875000,43.498571,-83.881429
506,9,43.490000,43.505000,-83.770000,-83.750000,43.497778,-83.760556
514,15,43.455000,43.495000,-83.820000,-83.795000,43.474667,-83.805667
517,6,43.485000,43.495000,-80.770000,-80.760000,43.490000,-80.764167
531,5,43.470000,43.480000,-83.485000,-83.480000,43.474000,-83.483000
541,9,43.455000,43.465000,-83.745000,-83.720000,43.459444,-83.733333
559,7,43.425000,43.440000,-83.945000,-83.940000,43.431429,-83.942857
562,7,43.420000,43.435000,-83.930000,-83.920000,43.427857,-83.925714
591,5,43.385000,43.395000,-83.475000,-83.465000,43.390000,-83.469000
595,15,43.365000,43.385000,-83.865000,-83.845000,43.374000,-83.857667
605,7,43.360000,43.380000,-83.080000,-83.075000,43.368571,-83.078571
606,10,43.355000,43.375000,-83.840000,-83.830000,43.365500,-83.834000
611,5,43.350000,43.365000,-83.215000,-83.210000,43.357000,-83.213000
625,44,43.305000,43.350000,-83.700000,-83.655000,43.327273,-83.678409
632,10,43.320000,43.345000,-83.295000,-83.285000,43.331500,-83.290500
636,5,43.325000,43.340000,-83.095000,-83.090000,43.331000,-83.094000
643,6,43.300000,43.320000,-83.725000,-83.720000,43.309167,-83.721667
647,31,43.275000,43.310000,-83.675000,-83.640000,43.290968,-83.658226
649,23,43.270000,43.300000,-83.720000,-83.690000,43.288913,-83.702609
652,18,43.265000,43.295000,-83.760000,-83.735000,43.278333,-83.747778
654,7,43.280000,43.290000,-83.635000,-83.620000,43.283571,-83.627143
669,26,43.225000,43.270000,-83.680000,-83.660000,43.246154,-83.670962
677,21,43.225000,43.260000,-83.725000,-83.695000,43.245476,-83.710476
689,9,43.230000,43.250000,-83.430000,-83.420000,43.241111,-83.426111
695,2208,42.860000,43.245000,-83.725000,-83.445000,43.072477,-83.577231
700,7,43.225000,43.240000,-83.395000,-83.385000,43.233571,-83.390714
703,7,43.220000,43.235000,-83.755000,-83.750000,43.228571,-83.752143
708,34,43.180000,43.230000,-83.845000,-83.810000,43.210294,-83.822206
728,58,43.145000,43.200000,-83.880000,-83.840000,43.175603,-83.856638
730,6,43.180000,43.200000,-83.790000,-83.785000,43.190000,-83.787500
732,36,43.140000,43.200000,-83.790000,-83.760000,43.161528,-83.773750
739,21,43.140000,43.180000,-83.900000,-83.880000,43.162619,-83.889524
740,23,43.140000,43.175000,-83.825000,-83.800000,43.152609,-83.815000
742,8,43.160000,43.175000,-83.800000,-83.790000,43.167500,-83.793750
754,21,43.105000,43.145000,-83.755000,-83.735000,43.125238,-83.745714
756,7,43.120000,43.140000,-83.875000,-83.870000,43.130714,-83.871429
759,8,43.105000,43.135000,-83.725000,-83.720000,43.118125,-83.724375
762,16,43.100000,43.130000,-83.775000,-83.760000,43.115000,-83.766250
767,11,43.085000,43.115000,-83.790000,-83.780000,43.102727,-83.783636
773,8,43.085000,43.105000,-83.895000,-83.890000,43.095000,-83.892500
782,14,43.055000,43.095000,-83.770000,-83.765000,43.075000,-83.767500
792,14,43.050000,43.080000,-83.755000,-83.740000,43.064643,-83.747857
811,5,43.040000,43.055000,-84.020000,-84.015000,43.048000,-84.019000
812,6,43.035000,43.055000,-83.885000,-83.880000,43.046667,-83.884167
856,5,42.925000,42.935000,-83.410000,-83.405000,42.931000,-83.407000
860,5,42.920000,42.930000,-83.485000,-83.480000,42.926000,-83.482000
869,99,42.835000,42.920000,-83.425000,-83.340000,42.870051,-83.376263
875,12,42.890000,42.910000,-83.515000,-83.500000,42.900833,-83.504583
894,12,42.870000,42.880000,-83.555000,-83.540000,42.875000,-83.547500
896,6,42.860000,42.870000,-83.420000,-83.405000,42.865833,-83.413333
899,20,42.830000,42.855000,-83.740000,-83.705000,42.844250,-83.725250
901,9,42.835000,42.855000,-83.515000,-83.505000,42.845000,-83.511667
925,14,42.800000,42.815000,-83.450000,-83.425000,42.806429,-83.436429
