t,x,y,z
0,40.0,60.0,10000
30,38.5,56.0,9600
60,37.0,52.0,9200
90,35.5,48.0,8800
120,34.0,44.0,8400
150,32.5,40.0,8000
180,31.0,36.01,7600
210,29.5,32.01,7200
240,28.0,28.01,6800
270,26.5,24.01,6400
300,25.0,20.01,6000
330,23.5,16.01,5600
360,22.0,12.01,5200
390,20.5,8.01,4800
420,19.0,4.01,4400
450,17.5,0.02,4000
480,16.0,-3.98,3600
510,14.5,-7.98,3200
540,13.0,-11.98,2800
570,11.5,-15.98,2400
600,10.0,-19.98,2000
630,8.5,-23.98,1600
660,7.0,-27.98,1200
690,5.5,-31.98,800
720,4.0,-35.98,400
750,2.5,-39.97,0
780,1.0,-43.97,0
810,-0.5,-47.97,0
840,-2.0,-51.97,0
870,-3.5,-55.97,0
900,-5.0,-59.97,0
930,-6.5,-63.97,0
960,-8.0,-67.97,0
990,-9.5,-71.97,0
1020,-11.0,-75.97,0
1050,-12.5,-79.96,0
1080,-14.0,-83.96,0
1110,-15.5,-87.96,0
1140,-17.0,-91.96,0
1170,-18.5,-95.96,0
1200,-20.0,-99.96,0
