t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft
0,43.61426973431964,-86.00506369438156,25000.0,39.44368474347494,-82.19940587271505,36984.0825456992,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
600,43.61426973431964,-86.00506369438156,25000.0,41.67300000000003,-82.91940587271505,26984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
1200,43.61426973431964,-86.00506369438156,25000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
1800,43.61426973431964,-86.00506369438156,25000.0,41.673,-82.94049999999996,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
2400,43.61426973431964,-86.00506369438156,25000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
3000,43.61426973431964,-86.00506369438156,25000.0,41.673,-82.94049999999993,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
3600,43.61426973431964,-86.00506369438156,25000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
4200,43.61426973431964,-86.00506369438156,25000.0,41.673,-82.94049999999989,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
4800,43.61426973431964,-86.00506369438156,25000.0,41.673,-82.9405,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
5400,43.38462232092284,-85.39546138539312,20000.0,41.673,-82.94049999999987,16984.082545699202,40.49639,-85.71833,29200.0,40.50167,-85.78167,29200.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.50556,-85.62667,31900.0,40.48,-85.75583,21000.0,40.49556,-85.78861,35000.0,43.294970114986896,-86.14858226440323,25000.0,40.505,-85.65944,29000.0
