t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft
0,42.980072111706384,-86.25016320267274,25000.0,40.52306,-85.64,29900.0,39.47207014201796,-82.13958143060201,35000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.53083,-85.64083,29300.0,43.61209022217623,-86.00609887604638,25000.0,42.514458073230294,-80.36901421220203,32995.877145676706,39.44368474347494,-82.19940587271505,36984.0825456992,39.72775887326741,-81.6737038473906,32000.0,42.0439677176828,-86.3450974371217,33000.0,43.23259262464273,-86.17093165012358,33000.0,40.48611,-85.60306,27000.0,42.0127783381649,-86.34356447526095,27672.523975584987,43.233901700687525,-86.17046327956935,33000.0,40.01444,-84.74861,29000.0
600,42.980072111706384,-86.25016320267274,25000.0,40.52306,-85.64,29900.0,39.47207014201796,-82.13958143060201,35000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.53083,-85.64083,29300.0,43.61209022217623,-86.00609887604638,25000.0,42.514458073230294,-80.36901421220203,32995.877145676706,39.44368474347494,-82.19940587271505,36984.0825456992,39.72775887326741,-81.6737038473906,32000.0,42.0439677176828,-86.3450974371217,33000.0,43.23259262464273,-86.17093165012358,33000.0,40.48611,-85.60306,27000.0,42.0127783381649,-86.34356447526095,27672.523975584987,43.233901700687525,-86.17046327956935,33000.0,41.737499999999976,-84.17729999999993,19000.0
1200,42.980072111706384,-86.25016320267274,25000.0,40.52306,-85.64,29900.0,39.47207014201796,-82.13958143060201,35000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.53083,-85.64083,29300.0,43.61209022217623,-86.00609887604638,25000.0,42.514458073230294,-80.36901421220203,32995.877145676706,39.44368474347494,-82.19940587271505,36984.0825456992,39.72775887326741,-81.6737038473906,32000.0,42.0439677176828,-86.3450974371217,33000.0,43.23259262464273,-86.17093165012358,33000.0,40.48611,-85.60306,27000.0,42.0127783381649,-86.34356447526095,27672.523975584987,43.233901700687525,-86.17046327956935,33000.0,41.7375,-84.1773,19000.0
1800,42.980072111706384,-86.25016320267274,25000.0,40.52306,-85.64,29900.0,39.47207014201796,-82.13958143060201,35000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.53083,-85.64083,29300.0,43.61209022217623,-86.00609887604638,25000.0,42.514458073230294,-80.36901421220203,32995.877145676706,39.44368474347494,-82.19940587271505,36984.0825456992,39.72775887326741,-81.6737038473906,32000.0,42.0439677176828,-86.3450974371217,33000.0,43.23259262464273,-86.17093165012358,33000.0,40.48611,-85.60306,27000.0,42.0127783381649,-86.34356447526095,27672.523975584987,43.233901700687525,-86.17046327956935,33000.0,41.73749999999995,-84.17729999999992,19000.0
2400,42.980072111706384,-86.25016320267274,25000.0,40.52306,-85.64,29900.0,39.47207014201796,-82.13958143060201,35000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.53083,-85.64083,29300.0,43.61209022217623,-86.00609887604638,25000.0,42.514458073230294,-80.36901421220203,32995.877145676706,39.44368474347494,-82.19940587271505,36984.0825456992,39.72775887326741,-81.6737038473906,32000.0,42.0439677176828,-86.3450974371217,33000.0,43.23259262464273,-86.17093165012358,33000.0,40.48611,-85.60306,27000.0,42.0127783381649,-86.34356447526095,27672.523975584987,43.233901700687525,-86.17046327956935,33000.0,41.7375,-84.1773,19000.0
3000,42.980072111706384,-86.25016320267274,25000.0,40.52306,-85.64,29900.0,39.47207014201796,-82.13958143060201,35000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.53083,-85.64083,29300.0,43.61209022217623,-86.00609887604638,25000.0,42.514458073230294,-80.36901421220203,32995.877145676706,39.44368474347494,-82.19940587271505,36984.0825456992,39.72775887326741,-81.6737038473906,32000.0,42.0439677176828,-86.3450974371217,33000.0,43.23259262464273,-86.17093165012358,33000.0,40.48611,-85.60306,27000.0,42.0127783381649,-86.34356447526095,27672.523975584987,43.233901700687525,-86.17046327956935,33000.0,41.73749999999991,-84.17729999999989,19000.0
3600,42.980072111706384,-86.25016320267274,25000.0,40.52306,-85.64,29900.0,39.47207014201796,-82.13958143060201,35000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.53083,-85.64083,29300.0,43.61209022217623,-86.00609887604638,25000.0,42.514458073230294,-80.36901421220203,32995.877145676706,39.44368474347494,-82.19940587271505,36984.0825456992,39.72775887326741,-81.6737038473906,32000.0,42.0439677176828,-86.3450974371217,33000.0,43.23259262464273,-86.17093165012358,33000.0,40.48611,-85.60306,27000.0,42.0127783381649,-86.34356447526095,27672.523975584987,43.233901700687525,-86.17046327956935,33000.0,41.7375,-84.1773,19000.0
4200,42.980072111706384,-86.25016320267274,25000.0,40.52306,-85.64,29900.0,39.47207014201796,-82.13958143060201,35000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.53083,-85.64083,29300.0,43.61209022217623,-86.00609887604638,25000.0,42.514458073230294,-80.36901421220203,32995.877145676706,39.44368474347494,-82.19940587271505,36984.0825456992,39.72775887326741,-81.6737038473906,32000.0,42.0439677176828,-86.3450974371217,33000.0,43.23259262464273,-86.17093165012358,33000.0,40.48611,-85.60306,27000.0,42.0127783381649,-86.34356447526095,27672.523975584987,43.233901700687525,-86.17046327956935,33000.0,41.73749999999989,-84.17729999999989,19000.0
4800,42.980072111706384,-86.25016320267274,25000.0,40.52306,-85.64,29900.0,39.47207014201796,-82.13958143060201,35000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.53083,-85.64083,29300.0,43.61209022217623,-86.00609887604638,25000.0,42.514458073230294,-80.36901421220203,32995.877145676706,39.43815122368237,-82.2205,26984.082545699202,39.72775887326741,-81.6737038473906,32000.0,42.0439677176828,-86.3450974371217,33000.0,43.23259262464273,-86.17093165012358,33000.0,40.48611,-85.60306,27000.0,42.0127783381649,-86.34356447526095,27672.523975584987,43.233901700687525,-86.17046327956935,33000.0,41.7375,-84.1773,19000.0
5400,42.980072111706384,-86.25016320267274,25000.0,40.52306,-85.64,29900.0,39.47207014201796,-82.13958143060201,35000.0,42.51528640319841,-80.3691364074183,31897.68559093646,40.53083,-85.64083,29300.0,43.61209022217623,-86.00609887604638,25000.0,42.514458073230294,-80.36901421220203,32995.877145676706,41.673,-82.9405,16984.082545699202,39.72775887326741,-81.6737038473906,32000.0,42.0439677176828,-86.3450974371217,33000.0,43.23259262464273,-86.17093165012358,33000.0,40.48611,-85.60306,27000.0,42.0127783381649,-86.34356447526095,27672.523975584987,43.233901700687525,-86.17046327956935,33000.0,41.73749999999989,-84.17729999999987,19000.0
