t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft,f16_lat,f16_lon,f16_alt_ft,f17_lat,f17_lon,f17_alt_ft,f18_lat,f18_lon,f18_alt_ft,f19_lat,f19_lon,f19_alt_ft,f20_lat,f20_lon,f20_alt_ft,f21_lat,f21_lon,f21_alt_ft,f22_lat,f22_lon,f22_alt_ft,f23_lat,f23_lon,f23_alt_ft,f24_lat,f24_lon,f24_alt_ft,f25_lat,f25_lon,f25_alt_ft
0,39.47200808832612,-82.1397123279792,31650.977276669342,42.72772371204682,-80.40062123711829,30000.0,40.67235037169452,-80.78329830255859,32208.840088590143,43.08009171556955,-80.48175785206433,27454.86484907332,40.48,-85.75583,21000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.51440867084101,-80.36900690435426,30913.210603268748,43.14333,-86.20283554065244,25000.0,42.95290215287274,-80.4498223247169,20000.0,42.0441758554957,-86.34510770411295,33000.0,39.420803726041754,-82.26162697454477,33000.0,42.50205246442259,-80.36762424009582,31982.697781139683,42.044216032458486,-86.3451097215448,27409.124876052483,39.61536903041827,-81.85829838495057,35678.52387832691,43.23347835088876,-86.17061474174,25000.0,40.52306,-85.64,29900.0,43.32650163629873,-86.13726900471796,31000.0,43.3119378771412,-86.14249638029663,31000.0,44.47194,-85.16778,14600.0,42.51437072174892,-80.36900118630447,31225.192091303543,42.500316893113045,-80.3675389087731,30000.0,39.72775887326741,-81.6737038473906,32000.0,39.47196530123279,-82.13980259697075,33000.0,40.505,-85.66833,29500.0,43.080485356324296,-80.48185539415572,30114.73089865459
600,39.47200808832612,-82.1397123279792,31650.977276669342,42.72772371204682,-80.40062123711829,30000.0,40.67235037169452,-80.78329830255859,32208.840088590143,43.08009171556955,-80.48175785206433,27454.86484907332,40.48,-85.75583,21000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.51440867084101,-80.36900690435426,30913.210603268748,43.14333,-86.20283554065244,25000.0,42.710686117051345,-81.1698223247169,20000.0,42.0441758554957,-86.34510770411295,33000.0,39.420803726041754,-82.26162697454477,33000.0,42.50205246442259,-80.36762424009582,31982.697781139683,42.044216032458486,-86.3451097215448,27409.124876052483,39.61536903041827,-81.85829838495057,35678.52387832691,43.23347835088876,-86.17061474174,25000.0,40.52306,-85.64,29900.0,43.32650163629873,-86.13726900471796,31000.0,43.3119378771412,-86.14249638029663,31000.0,44.47194,-85.16778,14600.0,42.51437072174892,-80.36900118630447,31225.192091303543,42.500316893113045,-80.3675389087731,30000.0,39.72775887326741,-81.6737038473906,32000.0,39.47196530123279,-82.13980259697075,33000.0,40.505,-85.66833,29500.0,43.080485356324296,-80.48185539415572,30114.73089865459
1200,39.47200808832612,-82.1397123279792,31650.977276669342,42.72772371204682,-80.40062123711829,30000.0,40.98485037169451,-81.3362991512793,22208.840088590143,43.08009171556955,-80.48175785206433,27454.86484907332,40.48,-85.75583,21000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.51440867084101,-80.36900690435426,30913.210603268748,43.14333,-86.20283554065244,25000.0,42.68253068206094,-81.88929999999996,10000.0,42.0441758554957,-86.34510770411295,33000.0,39.420803726041754,-82.26162697454477,33000.0,42.50205246442259,-80.36762424009582,31982.697781139683,42.044216032458486,-86.3451097215448,27409.124876052483,39.61536903041827,-81.85829838495057,35678.52387832691,43.23347835088876,-86.17061474174,25000.0,40.52306,-85.64,29900.0,43.32650163629873,-86.13726900471796,31000.0,43.3119378771412,-86.14249638029663,31000.0,44.47194,-85.16778,14600.0,42.51437072174892,-80.36900118630447,31225.192091303543,42.500316893113045,-80.3675389087731,30000.0,39.72775887326741,-81.6737038473906,32000.0,39.47196530123279,-82.13980259697075,33000.0,40.505,-85.66833,29500.0,43.080485356324296,-80.48185539415572,30114.73089865459
1800,39.47200808832612,-82.1397123279792,31650.977276669342,42.72772371204682,-80.40062123711829,30000.0,41.2626281494723,-81.88929999999996,12208.840088590143,43.08009171556955,-80.48175785206433,27454.86484907332,40.48,-85.75583,21000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.51440867084101,-80.36900690435426,30913.210603268748,43.14333,-86.20283554065244,25000.0,42.4165,-82.60929999999996,8000.0,42.0441758554957,-86.34510770411295,33000.0,39.420803726041754,-82.26162697454477,33000.0,42.50205246442259,-80.36762424009582,31982.697781139683,42.044216032458486,-86.3451097215448,27409.124876052483,39.61536903041827,-81.85829838495057,35678.52387832691,43.23347835088876,-86.17061474174,25000.0,40.52306,-85.64,29900.0,43.32650163629873,-86.13726900471796,31000.0,43.3119378771412,-86.14249638029663,31000.0,44.47194,-85.16778,14600.0,42.51437072174892,-80.36900118630447,31225.192091303543,42.500316893113045,-80.3675389087731,30000.0,39.72775887326741,-81.6737038473906,32000.0,39.47196530123279,-82.13980259697075,33000.0,40.505,-85.66833,29500.0,43.080485356324296,-80.48185539415572,30114.73089865459
2400,39.47200808832612,-82.1397123279792,31650.977276669342,42.72772371204682,-80.40062123711829,30000.0,42.4165,-82.60929999999996,8000.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.48,-85.75583,21000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.51440867084101,-80.36900690435426,30913.210603268748,43.14333,-86.20283554065244,25000.0,42.4165,-82.60929999999996,8000.0,42.0441758554957,-86.34510770411295,33000.0,39.420803726041754,-82.26162697454477,33000.0,42.50205246442259,-80.36762424009582,31982.697781139683,42.044216032458486,-86.3451097215448,27409.124876052483,39.61536903041827,-81.85829838495057,35678.52387832691,43.23347835088876,-86.17061474174,25000.0,40.52306,-85.64,29900.0,43.32650163629873,-86.13726900471796,31000.0,43.3119378771412,-86.14249638029663,31000.0,44.47194,-85.16778,14600.0,42.51437072174892,-80.36900118630447,31225.192091303543,42.500316893113045,-80.3675389087731,30000.0,39.72775887326741,-81.6737038473906,32000.0,39.47196530123279,-82.13980259697075,33000.0,40.505,-85.66833,29500.0,43.080485356324296,-80.48185539415572,30114.73089865459
3000,39.47200808832612,-82.1397123279792,31650.977276669342,42.72772371204682,-80.40062123711829,30000.0,42.4165,-82.60929999999996,8000.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.48,-85.75583,21000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.51440867084101,-80.36900690435426,30913.210603268748,43.14333,-86.20283554065244,25000.0,42.41649999999995,-82.60929999999996,8000.0,42.0441758554957,-86.34510770411295,33000.0,39.420803726041754,-82.26162697454477,33000.0,42.50205246442259,-80.36762424009582,31982.697781139683,42.044216032458486,-86.3451097215448,27409.124876052483,39.61536903041827,-81.85829838495057,35678.52387832691,43.23347835088876,-86.17061474174,25000.0,40.52306,-85.64,29900.0,43.32650163629873,-86.13726900471796,31000.0,43.3119378771412,-86.14249638029663,31000.0,44.47194,-85.16778,14600.0,42.51437072174892,-80.36900118630447,31225.192091303543,42.500316893113045,-80.3675389087731,30000.0,39.72775887326741,-81.6737038473906,32000.0,39.47196530123279,-82.13980259697075,33000.0,40.505,-85.66833,29500.0,43.080485356324296,-80.48185539415572,30114.73089865459
3600,39.47200808832612,-82.1397123279792,31650.977276669342,42.72772371204682,-80.40062123711829,30000.0,42.41649999999994,-82.60929999999996,8000.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.48,-85.75583,21000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.51440867084101,-80.36900690435426,30913.210603268748,43.14333,-86.20283554065244,25000.0,42.4165,-82.60929999999996,8000.0,42.0441758554957,-86.34510770411295,33000.0,39.420803726041754,-82.26162697454477,33000.0,42.50205246442259,-80.36762424009582,31982.697781139683,42.044216032458486,-86.3451097215448,27409.124876052483,39.61536903041827,-81.85829838495057,35678.52387832691,43.23347835088876,-86.17061474174,25000.0,40.52306,-85.64,29900.0,43.32650163629873,-86.13726900471796,31000.0,43.3119378771412,-86.14249638029663,31000.0,44.47194,-85.16778,14600.0,42.51437072174892,-80.36900118630447,31225.192091303543,42.500316893113045,-80.3675389087731,30000.0,39.72775887326741,-81.6737038473906,32000.0,39.47196530123279,-82.13980259697075,33000.0,40.505,-85.66833,29500.0,43.080485356324296,-80.48185539415572,30114.73089865459
4200,39.47200808832612,-82.1397123279792,31650.977276669342,42.72772371204682,-80.40062123711829,30000.0,42.4165,-82.60929999999996,8000.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.48,-85.75583,21000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.51440867084101,-80.36900690435426,30913.210603268748,43.14333,-86.20283554065244,25000.0,42.416500000000084,-82.60929999999996,8000.0,42.0441758554957,-86.34510770411295,33000.0,39.420803726041754,-82.26162697454477,33000.0,42.50205246442259,-80.36762424009582,31982.697781139683,42.044216032458486,-86.3451097215448,27409.124876052483,39.61536903041827,-81.85829838495057,35678.52387832691,43.23347835088876,-86.17061474174,25000.0,40.52306,-85.64,29900.0,43.32650163629873,-86.13726900471796,31000.0,43.3119378771412,-86.14249638029663,31000.0,44.47194,-85.16778,14600.0,42.51437072174892,-80.36900118630447,31225.192091303543,42.500316893113045,-80.3675389087731,30000.0,39.72775887326741,-81.6737038473906,32000.0,39.47196530123279,-82.13980259697075,33000.0,40.505,-85.66833,29500.0,43.080485356324296,-80.48185539415572,30114.73089865459
4800,39.47200808832612,-82.1397123279792,31650.977276669342,42.72772371204682,-80.40062123711829,30000.0,42.41649999999992,-82.60929999999996,8000.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.48,-85.75583,21000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.51440867084101,-80.36900690435426,30913.210603268748,43.14333,-86.20283554065244,25000.0,42.4165,-82.60929999999996,8000.0,42.0441758554957,-86.34510770411295,33000.0,39.420803726041754,-82.26162697454477,33000.0,42.50205246442259,-80.36762424009582,31982.697781139683,42.044216032458486,-86.3451097215448,27409.124876052483,39.61536903041827,-81.85829838495057,35678.52387832691,43.23347835088876,-86.17061474174,25000.0,40.52306,-85.64,29900.0,43.32650163629873,-86.13726900471796,31000.0,43.3119378771412,-85.46170000000008,21000.0,44.47194,-85.16778,14600.0,42.51437072174892,-80.36900118630447,31225.192091303543,42.500316893113045,-80.3675389087731,30000.0,39.72775887326741,-81.6737038473906,32000.0,39.47196530123279,-82.13980259697075,33000.0,40.505,-85.66833,29500.0,43.080485356324296,-80.48185539415572,30114.73089865459
5400,39.47200808832612,-82.1397123279792,31650.977276669342,42.72772371204682,-80.40062123711829,30000.0,42.4165,-82.60929999999996,8000.0,43.08009171556955,-80.48175785206433,27454.86484907332,40.48,-85.75583,21000.0,39.471928932690965,-82.13987919833268,36370.00531283437,42.51440867084101,-80.36900690435426,30913.210603268748,43.14333,-86.20283554065244,25000.0,42.41650000000012,-82.60929999999996,8000.0,42.0441758554957,-86.34510770411295,33000.0,39.420803726041754,-82.26162697454477,33000.0,42.50205246442259,-80.36762424009582,31982.697781139683,42.044216032458486,-86.3451097215448,27409.124876052483,39.61536903041827,-81.85829838495057,35678.52387832691,43.23347835088876,-86.17061474174,25000.0,40.52306,-85.64,29900.0,43.32650163629873,-86.13726900471796,31000.0,43.03416009936343,-84.7417,11000.0,44.47194,-85.16778,14600.0,42.51437072174892,-80.36900118630447,31225.192091303543,42.500316893113045,-80.3675389087731,30000.0,39.72775887326741,-81.6737038473906,32000.0,39.47196530123279,-82.13980259697075,33000.0,40.505,-85.66833,29500.0,43.080485356324296,-80.48185539415572,30114.73089865459
