t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft,f11_lat,f11_lon,f11_alt_ft,f12_lat,f12_lon,f12_alt_ft,f13_lat,f13_lon,f13_alt_ft,f14_lat,f14_lon,f14_alt_ft,f15_lat,f15_lon,f15_alt_ft,f16_lat,f16_lon,f16_alt_ft,f17_lat,f17_lon,f17_alt_ft,f18_lat,f18_lon,f18_alt_ft,f19_lat,f19_lon,f19_alt_ft,f20_lat,f20_lon,f20_alt_ft,f21_lat,f21_lon,f21_alt_ft,f22_lat,f22_lon,f22_alt_ft,f23_lat,f23_lon,f23_alt_ft,f24_lat,f24_lon,f24_alt_ft,f25_lat,f25_lon,f25_alt_ft,f26_lat,f26_lon,f26_alt_ft,f27_lat,f27_lon,f27_alt_ft,f28_lat,f28_lon,f28_alt_ft,f29_lat,f29_lon,f29_alt_ft,f30_lat,f30_lon,f30_alt_ft
0,42.50205246442259,-80.36762424009582,31982.697781139683,44.47194,-85.16778,14600.0,40.49556,-85.78861,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,43.45778,-84.01639,3900.0,40.49139,-85.68306,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,39.39689375178773,-82.32856757995995,34042.42499284907,39.44368474347494,-82.19940587271505,36984.0825456992,42.72862658204464,-80.40075545441255,30000.0,43.23347835088876,-86.17061474174,25000.0,39.63327861898183,-81.82844805346255,34000.0,42.04399395455645,-86.34509887936117,29545.98406634572,39.36551787946668,-82.41616891199598,37000.0,43.14333,-86.20283554065244,25000.0,40.51861,-85.65417,29500.0,39.47175240790911,-82.14025171480814,38615.59306899031,43.22180159193222,-86.17479336238881,29000.0,40.86920257296341,-80.6742174694934,36000.0,39.420803726041754,-82.26162697454477,33000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.95225280593826,-80.44966189445813,26000.0,42.514607664330704,-80.3690362175323,33827.06883597506,42.980072111706384,-86.25016320267274,25000.0,42.0441530289793,-86.34510601613685,31000.0,40.48611,-85.60306,27000.0,43.04251229690874,-80.4723095530717,22000.0,44.475,-85.27833,21000.0,43.09239653435184,-86.22098350157782,23000.0,44.47611,-85.20944,12800.0
600,42.50205246442259,-80.36762424009582,31982.697781139683,44.47194,-85.16778,14600.0,40.49556,-85.78861,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,43.45778,-84.01639,3900.0,40.49139,-85.68306,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,39.39689375178773,-82.32856757995995,34042.42499284907,39.44368474347494,-82.19940587271505,36984.0825456992,42.72862658204464,-80.40075545441255,30000.0,43.23347835088876,-86.17061474174,25000.0,39.63327861898183,-81.82844805346255,34000.0,42.04399395455645,-86.34509887936117,29545.98406634572,39.36551787946668,-82.41616891199598,37000.0,43.14333,-86.20283554065244,25000.0,40.51861,-85.65417,29500.0,41.67300000000005,-82.86025171480814,28615.59306899031,43.22180159193222,-86.17479336238881,29000.0,40.86920257296341,-80.6742174694934,36000.0,39.420803726041754,-82.26162697454477,33000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.95225280593826,-80.44966189445813,26000.0,42.514607664330704,-80.3690362175323,33827.06883597506,42.980072111706384,-86.25016320267274,25000.0,42.0441530289793,-86.34510601613685,31000.0,40.48611,-85.60306,27000.0,43.04251229690874,-80.4723095530717,22000.0,44.475,-85.27833,21000.0,43.09239653435184,-86.22098350157782,23000.0,44.47611,-85.20944,12800.0
1200,42.50205246442259,-80.36762424009582,31982.697781139683,44.47194,-85.16778,14600.0,40.49556,-85.78861,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,43.45778,-84.01639,3900.0,40.49139,-85.68306,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,39.39689375178773,-82.32856757995995,34042.42499284907,39.44368474347494,-82.19940587271505,36984.0825456992,42.72862658204464,-80.40075545441255,30000.0,43.23347835088876,-86.17061474174,25000.0,39.63327861898183,-81.82844805346255,34000.0,42.04399395455645,-86.34509887936117,29545.98406634572,39.36551787946668,-82.41616891199598,37000.0,43.14333,-86.20283554065244,25000.0,40.51861,-85.65417,29500.0,41.673,-82.9405,18615.59306899031,43.22180159193222,-86.17479336238881,29000.0,41.02924074777055,-81.25364405106002,26000.0,39.420803726041754,-82.26162697454477,33000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.95225280593826,-80.44966189445813,26000.0,42.514607664330704,-80.3690362175323,33827.06883597506,42.980072111706384,-86.25016320267274,25000.0,42.0441530289793,-86.34510601613685,31000.0,40.48611,-85.60306,27000.0,43.04251229690874,-80.4723095530717,22000.0,44.475,-85.27833,21000.0,43.09239653435184,-86.22098350157782,23000.0,44.47611,-85.20944,12800.0
1800,42.50205246442259,-80.36762424009582,31982.697781139683,44.47194,-85.16778,14600.0,40.49556,-85.78861,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,43.45778,-84.01639,3900.0,40.49139,-85.68306,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,39.39689375178773,-82.32856757995995,34042.42499284907,39.44368474347494,-82.19940587271505,36984.0825456992,42.72862658204464,-80.40075545441255,30000.0,43.23347835088876,-86.17061474174,25000.0,39.63327861898183,-81.82844805346255,34000.0,42.04399395455645,-86.34509887936117,29545.98406634572,39.36551787946668,-82.41616891199598,37000.0,43.14333,-86.20283554065244,25000.0,40.51861,-85.65417,29500.0,41.673,-82.94050000000009,18615.59306899031,43.22180159193222,-86.17479336238881,29000.0,41.32827694912069,-81.88929999999996,16000.0,39.420803726041754,-82.26162697454477,33000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.95225280593826,-80.44966189445813,26000.0,42.514607664330704,-80.3690362175323,33827.06883597506,42.980072111706384,-86.25016320267274,25000.0,42.0441530289793,-86.34510601613685,31000.0,40.48611,-85.60306,27000.0,43.04251229690874,-80.4723095530717,22000.0,44.475,-85.27833,21000.0,43.09239653435184,-86.22098350157782,23000.0,44.47611,-85.20944,12800.0
2400,42.50205246442259,-80.36762424009582,31982.697781139683,44.47194,-85.16778,14600.0,40.49556,-85.78861,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,43.45778,-84.01639,3900.0,40.49139,-85.68306,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,39.39689375178773,-82.32856757995995,34042.42499284907,39.44368474347494,-82.19940587271505,36984.0825456992,42.72862658204464,-80.40075545441255,30000.0,43.23347835088876,-86.17061474174,25000.0,39.63327861898183,-81.82844805346255,34000.0,42.04399395455645,-86.34509887936117,29545.98406634572,39.36551787946668,-82.41616891199598,37000.0,43.14333,-86.20283554065244,25000.0,40.51861,-85.65417,29500.0,41.673,-82.9405,18615.59306899031,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.95225280593826,-80.44966189445813,26000.0,42.514607664330704,-80.3690362175323,33827.06883597506,42.980072111706384,-86.25016320267274,25000.0,42.0441530289793,-86.34510601613685,31000.0,40.48611,-85.60306,27000.0,43.04251229690874,-80.4723095530717,22000.0,44.475,-85.27833,21000.0,43.09239653435184,-86.22098350157782,23000.0,44.47611,-85.20944,12800.0
3000,42.50205246442259,-80.36762424009582,31982.697781139683,44.47194,-85.16778,14600.0,40.49556,-85.78861,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,43.45778,-84.01639,3900.0,40.49139,-85.68306,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,39.39689375178773,-82.32856757995995,34042.42499284907,39.44368474347494,-82.19940587271505,36984.0825456992,42.72862658204464,-80.40075545441255,30000.0,43.23347835088876,-86.17061474174,25000.0,39.63327861898183,-81.82844805346255,34000.0,42.04399395455645,-86.34509887936117,29545.98406634572,39.36551787946668,-82.41616891199598,37000.0,43.14333,-86.20283554065244,25000.0,40.51861,-85.65417,29500.0,41.673,-82.94049999999991,18615.59306899031,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.95225280593826,-80.44966189445813,26000.0,42.514607664330704,-80.3690362175323,33827.06883597506,42.980072111706384,-86.25016320267274,25000.0,42.0441530289793,-86.34510601613685,31000.0,40.48611,-85.60306,27000.0,43.04251229690874,-80.4723095530717,22000.0,44.475,-85.27833,21000.0,43.09239653435184,-86.22098350157782,23000.0,44.47611,-85.20944,12800.0
3600,42.50205246442259,-80.36762424009582,31982.697781139683,44.47194,-85.16778,14600.0,40.49556,-85.78861,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,43.45778,-84.01639,3900.0,40.49139,-85.68306,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,39.39689375178773,-82.32856757995995,34042.42499284907,39.44368474347494,-82.19940587271505,36984.0825456992,42.72862658204464,-80.40075545441255,30000.0,43.23347835088876,-86.17061474174,25000.0,39.63327861898183,-81.82844805346255,34000.0,42.04399395455645,-86.34509887936117,29545.98406634572,39.36551787946668,-82.41616891199598,37000.0,43.14333,-86.20283554065244,25000.0,40.51861,-85.65417,29500.0,41.673,-82.9405,18615.59306899031,43.22180159193222,-86.17479336238881,29000.0,42.4165000000001,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.95225280593826,-80.44966189445813,26000.0,42.514607664330704,-80.3690362175323,33827.06883597506,42.980072111706384,-86.25016320267274,25000.0,42.0441530289793,-86.34510601613685,31000.0,40.48611,-85.60306,27000.0,43.04251229690874,-80.4723095530717,22000.0,44.475,-85.27833,21000.0,43.09239653435184,-86.22098350157782,23000.0,44.47611,-85.20944,12800.0
4200,42.50205246442259,-80.36762424009582,31982.697781139683,44.47194,-85.16778,14600.0,40.49556,-85.78861,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,43.45778,-84.01639,3900.0,40.49139,-85.68306,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,39.39689375178773,-82.32856757995995,34042.42499284907,39.44368474347494,-82.19940587271505,36984.0825456992,42.72862658204464,-80.40075545441255,30000.0,43.23347835088876,-86.17061474174,25000.0,39.63327861898183,-81.82844805346255,34000.0,42.04399395455645,-86.34509887936117,29545.98406634572,39.36551787946668,-82.41616891199598,37000.0,43.14333,-86.20283554065244,25000.0,40.51861,-85.65417,29500.0,41.673,-82.94049999999991,18615.59306899031,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.95225280593826,-80.44966189445813,26000.0,42.514607664330704,-80.3690362175323,33827.06883597506,42.980072111706384,-86.25016320267274,25000.0,42.0441530289793,-86.34510601613685,31000.0,40.48611,-85.60306,27000.0,43.04251229690874,-80.4723095530717,22000.0,44.475,-85.27833,21000.0,43.09239653435184,-86.22098350157782,23000.0,44.47611,-85.20944,12800.0
4800,42.50205246442259,-80.36762424009582,31982.697781139683,44.47194,-85.16778,14600.0,40.49556,-85.78861,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,43.45778,-84.01639,3900.0,40.49139,-85.68306,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,39.39689375178773,-82.32856757995995,34042.42499284907,39.44368474347494,-82.19940587271505,36984.0825456992,42.72862658204464,-80.40075545441255,30000.0,43.23347835088876,-86.17061474174,25000.0,39.63327861898183,-81.82844805346255,34000.0,42.04399395455645,-86.34509887936117,29545.98406634572,39.36551787946668,-82.41616891199598,37000.0,43.14333,-86.20283554065244,25000.0,40.51861,-85.65417,29500.0,41.673,-82.9405,18615.59306899031,43.22180159193222,-86.17479336238881,29000.0,42.41650000000014,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.95225280593826,-80.44966189445813,26000.0,42.514607664330704,-80.3690362175323,33827.06883597506,42.980072111706384,-86.25016320267274,25000.0,42.0441530289793,-86.34510601613685,31000.0,40.48611,-85.60306,27000.0,43.04251229690874,-80.4723095530717,22000.0,44.475,-85.27833,21000.0,43.09239653435184,-86.22098350157782,23000.0,44.47611,-85.20944,12800.0
5400,42.50205246442259,-80.36762424009582,31982.697781139683,44.47194,-85.16778,14600.0,40.49556,-85.78861,35000.0,42.514458073230294,-80.36901421220203,32995.877145676706,43.45778,-84.01639,3900.0,40.49139,-85.68306,31000.0,42.51528640319841,-80.3691364074183,31897.68559093646,39.39689375178773,-82.32856757995995,34042.42499284907,39.44368474347494,-82.19940587271505,36984.0825456992,42.72862658204464,-80.40075545441255,30000.0,43.23347835088876,-86.17061474174,25000.0,39.63327861898183,-81.82844805346255,34000.0,42.04399395455645,-86.34509887936117,29545.98406634572,39.36551787946668,-82.41616891199598,37000.0,43.14333,-86.20283554065244,25000.0,40.51861,-85.65417,29500.0,41.673,-82.94049999999991,18615.59306899031,43.22180159193222,-86.17479336238881,29000.0,42.4165,-82.60929999999996,8000.0,39.420803726041754,-82.26162697454477,33000.0,43.08023501885609,-80.48179275878633,30600.754166188017,42.95225280593826,-80.44966189445813,26000.0,42.514607664330704,-80.3690362175323,33827.06883597506,42.980072111706384,-86.25016320267274,25000.0,42.0441530289793,-86.34510601613685,31000.0,40.48611,-85.60306,27000.0,43.04251229690874,-80.4723095530717,22000.0,44.475,-85.27833,21000.0,43.09239653435184,-86.22098350157782,23000.0,44.47611,-85.20944,12800.0
