t,f1_lat,f1_lon,f1_alt_ft
0,43.09239653435184,-86.22098350157782,23000.0
60,42.99759880133893,-86.14898350157782,22000.0
120,42.950199934832476,-86.07698350157781,21000.0
180,42.86686660149914,-86.01028707687439,20000.0
240,42.86686660149914,-85.94590000000485,19000.0
300,42.79576830173946,-85.87390000000485,18000.0
360,42.70201830173946,-85.80190000000485,18000.0
420,42.56748656812419,-85.72990000000485,17000.0
480,42.56748656812419,-85.65790000000484,17000.0
540,42.48254459794588,-85.58590000000481,17000.0
600,42.41732451949329,-85.51390000000478,17000.0
660,42.31564529143918,-85.44190000000475,16000.0
720,42.22084755842627,-85.36990000000472,16000.0
780,42.13751422509294,-85.29790000000469,16000.0
840,42.05418089175961,-85.22590000000466,16000.0
900,42.12031244477743,-85.15390000000463,16000.0
960,41.91235582731153,-85.0819000000046,16000.0
1020,41.7962220311683,-85.00990000000456,15000.0
1080,41.603339185458026,-84.93790000000456,14000.0
1140,41.66393267850111,-84.86590000000456,14000.0
1200,41.688016501720995,-84.80150000000002,14000.0
1260,41.61782595446869,-84.72950000000002,14000.0
1320,41.49282595446857,-84.65750000000001,14000.0
1380,41.56282256208956,-84.58550000000001,14000.0
1440,41.61007907518427,-84.51350000000001,14000.0
1500,41.697497157845646,-84.4415,13000.0
1560,41.71620000000005,-84.3695,12000.0
1620,41.96620000000005,-84.2975,11000.0
1680,41.96620000000006,-84.2975,11000.0
1740,41.96620000000004,-84.2975,11000.0
1800,41.96620000000006,-84.2975,11000.0
1860,41.96620000000007,-84.2975,11000.0
1920,41.96620000000005,-84.2975,11000.0
1980,41.96620000000004,-84.2975,11000.0
2040,41.966199999999965,-84.29750000000004,11000.0
2100,41.9662,-84.2975,11000.0
