t,x,y,z
0,-86.225000,43.080000,370.000000
30,-86.225000,42.480000,340.000000
60,-86.225000,41.880000,310.000000
90,-86.225000,41.280000,280.000000
120,-85.158333,40.680000,250.000000
150,-85.158333,40.795000,220.000000
180,-84.091667,41.395000,190.000000
210,-84.091667,41.995000,160.000000
240,-83.978610,42.595000,130.000000
270,-83.978610,42.595000,130.000000
300,-83.978610,42.595000,130.000000
330,-83.978610,42.595000,130.000000
360,-83.978610,42.595000,130.000000
390,-83.978610,42.595000,130.000000
420,-83.978610,42.595000,130.000000
450,-83.978610,42.595000,130.000000
480,-83.978610,42.595000,130.000000
510,-83.978610,42.595000,130.000000
540,-83.978610,42.595000,130.000000
570,-83.978610,42.595000,130.000000
600,-83.978610,42.595000,130.000000
630,-83.978610,42.595000,130.000000
660,-83.978610,42.595000,130.000000
690,-83.978610,42.595000,130.000000
720,-83.978610,42.595000,130.000000
750,-83.978610,42.595000,130.000000
780,-83.978610,42.595000,130.000000
810,-83.978610,42.595000,130.000000
840,-83.978610,42.595000,130.000000
870,-83.978610,42.595000,130.000000
900,-83.978610,42.595000,130.000000
930,-83.978610,42.595000,130.000000
