t,x,y,z
0,40.673330,-80.767220,340.000000
30,39.173330,-80.933887,310.000000
60,38.106663,-81.533887,280.000000
90,39.344997,-81.962220,250.000000
120,40.014440,-82.562220,220.000000
150,41.514440,-82.562220,193.000000
180,41.514440,-82.562220,193.000000
210,41.514440,-82.562220,193.000000
240,41.514440,-82.562220,193.000000
270,41.514440,-82.562220,193.000000
300,41.514440,-82.562220,193.000000
330,41.514440,-82.562220,193.000000
360,41.514440,-82.562220,193.000000
390,41.514440,-82.562220,193.000000
420,41.514440,-82.562220,193.000000
450,41.514440,-82.562220,193.000000
480,41.514440,-82.562220,193.000000
510,41.514440,-82.562220,193.000000
540,41.514440,-82.562220,193.000000
570,41.514440,-82.562220,193.000000
600,41.514440,-82.562220,193.000000
630,41.514440,-82.562220,193.000000
660,41.514440,-82.562220,193.000000
690,41.514440,-82.562220,193.000000
720,41.514440,-82.562220,193.000000
750,41.514440,-82.562220,193.000000
780,41.514440,-82.562220,193.000000
810,41.514440,-82.562220,193.000000
840,41.514440,-82.562220,193.000000
870,41.514440,-82.562220,193.000000
900,41.514440,-82.562220,193.000000
