t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft,f3_lat,f3_lon,f3_alt_ft,f4_lat,f4_lon,f4_alt_ft,f5_lat,f5_lon,f5_alt_ft,f6_lat,f6_lon,f6_alt_ft,f7_lat,f7_lon,f7_alt_ft,f8_lat,f8_lon,f8_alt_ft,f9_lat,f9_lon,f9_alt_ft,f10_lat,f10_lon,f10_alt_ft
0,39.47175240790911,-82.14025171480814,38615.59306899031,40.86920257296341,-80.6742174694934,36000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
300,39.60916139107023,-82.25546896435094,33615.59306899031,40.86920257296341,-80.6742174694934,36000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
600,40.423,-82.5805,28615.59306899031,40.86920257296341,-80.6742174694934,36000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
900,41.673,-82.9405,23615.59306899031,40.86920257296341,-80.6742174694934,36000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
1200,41.673,-82.9405,23615.59306899031,41.05679543537278,-80.97798810212001,35000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
1500,41.673,-82.94049999999994,23615.59306899031,41.05679543537278,-81.30987341843331,30000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
1800,41.673,-82.9405,23615.59306899031,41.17912437754452,-81.64175873474665,25000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
2100,41.673,-82.94049999999993,23615.59306899031,41.38533226898171,-81.88929999999996,20000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
2400,41.673,-82.9405,23615.59306899031,41.795335768121404,-82.24929999999996,15000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
2700,41.673,-82.9404999999999,23615.59306899031,42.4165,-82.60929999999996,10000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
3000,41.673,-82.9405,23615.59306899031,42.41649999999995,-82.60929999999996,10000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
3300,41.673,-82.94049999999991,23615.59306899031,42.4165,-82.60929999999996,10000.0,43.07999684681137,-86.2250655561133,37000.0,40.67817474259276,-80.77980736821634,34000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
3600,41.673,-82.9405,23615.59306899031,42.41649999999993,-82.60929999999996,10000.0,42.8783491754968,-85.9231741670849,32000.0,40.77611716466336,-81.00446258594631,29000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
3900,41.673,-82.9404999999999,23615.59306899031,42.4165,-82.60929999999996,10000.0,42.36188880756949,-85.5631741670849,27000.0,40.77611716466336,-81.24875717561052,24000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
4200,41.673,-82.9405,23615.59306899031,42.41649999999991,-82.60929999999996,10000.0,42.15213538736405,-85.2612827780566,22000.0,41.14099132025713,-81.60875717561052,23000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
4500,41.673,-82.94049999999987,23615.59306899031,42.4165,-82.60929999999996,10000.0,42.15213538736404,-84.9593913890283,17000.0,41.29724132025713,-81.88929999999996,18000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
4800,41.673,-82.9405,23615.59306899031,42.416499999999914,-82.60929999999996,10000.0,42.15213538736404,-84.6575,12000.0,41.505574653590465,-82.24929999999996,13000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
5100,41.673,-82.94049999999987,23615.59306899031,42.4165,-82.60929999999996,10000.0,41.966200000000086,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
5400,41.673,-82.9405,23615.59306899031,42.41649999999991,-82.60929999999996,10000.0,41.96620000000018,-84.2975,11000.0,42.41649999999996,-82.60929999999996,8000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
5700,41.673,-82.94049999999986,23615.59306899031,42.4165,-82.60929999999996,10000.0,41.966200000000086,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,39.6369957589119,-81.82224888730305,34000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
6000,41.673,-82.9405,23615.59306899031,42.4164999999999,-82.60929999999996,10000.0,41.96620000000015,-84.2975,11000.0,42.41649999999993,-82.60929999999996,8000.0,40.207333162653,-82.12972444365157,29000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
6300,41.673,-82.94049999999987,23615.59306899031,42.4165,-82.60929999999996,10000.0,41.966200000000086,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,40.498300000000086,-82.4372,24000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
6600,41.673,-82.9405,23615.59306899031,42.4164999999999,-82.60929999999996,10000.0,41.96620000000017,-84.2975,11000.0,42.41649999999993,-82.60929999999996,8000.0,41.748300000000086,-82.7972,19000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
6900,41.673,-82.94049999999987,23615.59306899031,42.4165,-82.60929999999996,10000.0,41.966200000000086,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.748300000000086,-82.7972,19000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
7200,41.673,-82.9405,23615.59306899031,42.41649999999991,-82.60929999999996,10000.0,41.96620000000017,-84.2975,11000.0,42.41649999999993,-82.60929999999996,8000.0,41.748300000000135,-82.79719999999996,19000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
7500,41.673,-82.94049999999986,23615.59306899031,42.4165,-82.60929999999996,10000.0,41.966200000000086,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.748300000000086,-82.7972,19000.0,42.614828747520555,-80.38386582210703,36000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
7800,41.673,-82.9405,23615.59306899031,42.41649999999991,-82.60929999999996,10000.0,41.9662000000002,-84.2975,11000.0,42.416499999999914,-82.60929999999996,8000.0,41.748300000000164,-82.79719999999995,19000.0,42.442615094475656,-80.67022436658023,31000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
8100,41.673,-82.94049999999986,23615.59306899031,42.4165,-82.60929999999996,10000.0,41.966200000000086,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.748300000000086,-82.7972,19000.0,42.46524172756223,-80.97750271120336,26000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
8400,41.673,-82.9405,23615.59306899031,42.41649999999991,-82.60929999999996,10000.0,41.96620000000019,-84.2975,11000.0,42.41649999999991,-82.60929999999996,8000.0,41.74830000000016,-82.79719999999995,19000.0,42.362366071701274,-81.26386125567656,26000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
8700,41.673,-82.94049999999989,23615.59306899031,42.4165,-82.60929999999996,10000.0,41.966200000000086,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.748300000000086,-82.7972,19000.0,42.362366071701274,-81.55021980014976,21000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
9000,41.673,-82.9405,23615.59306899031,42.41649999999992,-82.60929999999996,10000.0,41.96620000000019,-84.2975,11000.0,42.41649999999991,-82.60929999999996,8000.0,41.748300000000185,-82.79719999999989,19000.0,42.24674902277445,-81.90771036388153,16000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
9300,41.673,-82.94049999999989,23615.59306899031,42.4165,-82.60929999999996,10000.0,41.966200000000086,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.748300000000086,-82.7972,19000.0,42.49674902277445,-82.24929999999996,13000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
9600,41.673,-82.9405,23615.59306899031,42.41649999999993,-82.60929999999996,10000.0,41.96620000000018,-84.2975,11000.0,42.416499999999914,-82.60929999999996,8000.0,41.74830000000017,-82.79719999999988,19000.0,42.4165,-82.60929999999996,8000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
9900,41.673,-82.94049999999989,23615.59306899031,42.4165,-82.60929999999996,10000.0,41.966200000000086,-84.2975,11000.0,42.4165,-82.60929999999996,8000.0,41.748300000000086,-82.7972,19000.0,42.4165,-82.60929999999996,8000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
10200,41.673,-82.9405,23615.59306899031,42.41649999999992,-82.60929999999996,10000.0,41.96620000000021,-84.2975,11000.0,42.41649999999992,-82.60929999999996,8000.0,41.748300000000135,-82.7971999999999,19000.0,42.41649999999992,-82.60929999999996,8000.0,39.99806,-84.75528,27000.0,42.50731322223179,-86.33884182906013,35000.0,40.66556279062902,-85.91943392407536,37000.0,41.87180481222802,-86.33200477447754,35000.0
