acId,enter_pre_tracon,enter_tracon,duration_seconds,enter_pre_tracon_coord,enter_tracon_coord
SWA3255_KDENtoKDTW,2023-12-22 00:30:01,2023-12-22 00:45:28,927.0,"(-86.225, 43.08)","(-83.97861, 42.595)"
SWA3201_KBWItoKDTW,2023-12-22 00:30:21,2023-12-22 00:48:22,1081.0,"(-80.7925, 40.68306)","(-82.82917, 41.7525)"
AAL419_KCLTtoKDTW,2023-12-22 01:09:02,2023-12-22 01:30:35,1293.0,"(-81.82417, 39.64639)","(-82.98667, 41.685)"
LN985CL_KALBtoKDTW,2023-12-22 01:42:04,2023-12-22 01:58:32,988.0,"(-80.39667, 42.61389)","(-82.64694, 42.29028)"
UPS1480_KSDFtoKDTW,2023-12-22 03:04:56,2023-12-22 03:23:24,1108.0,"(-84.75528, 39.99806)","(-83.78944, 41.72694)"
DAL1296_KDENtoKDTW,2023-12-22 04:41:19,2023-12-22 04:54:14,775.0,"(-86.31972, 42.50583)","(-84.14222, 42.29194)"
FFT4886_KPHXtoKDTW,2023-12-22 04:46:32,2023-12-22 05:01:25,893.0,"(-85.91944, 40.66556)","(-84.01528, 41.73667)"
UPS1440_KPHLtoKDTW,2023-12-22 04:59:19,2023-12-22 05:15:09,950.0,"(-80.52528, 41.26167)","(-82.74694, 41.99306)"
DAL1445_KPHXtoKDTW,2023-12-22 04:57:00,2023-12-22 05:10:14,794.0,"(-86.31056, 41.87417)","(-84.23056, 42.09556)"
ABX1488_KRFDtoKDTW,2023-12-22 05:00:55,2023-12-22 05:12:49,714.0,"(-86.32722, 42.09861)","(-84.22806, 42.08917)"
DAL962_KSANtoKDTW,2023-12-22 05:08:12,2023-12-22 05:21:13,781.0,"(-86.31833, 41.89472)","(-84.23944, 42.08556)"
FDX1418_KMEMtoKDTW,2023-12-22 05:46:32,2023-12-22 06:01:00,868.0,"(-85.56056, 40.39472)","(-84.17083, 41.74361)"
UPS1482_KSDFtoKDTW,2023-12-22 05:43:05,2023-12-22 05:58:25,920.0,"(-84.74861, 40.01444)","(-84.17056, 41.74472)"
DAL338_KCLEtoKDTW,2023-12-22 06:06:01,2023-12-22 06:14:57,536.0,"(-81.93389, 41.39833)","(-82.81056, 41.75694)"
NKS709_KLAXtoKDTW,2023-12-22 05:58:36,2023-12-22 06:10:52,736.0,"(-86.3175, 42.04583)","(-84.29639, 41.96694)"
DAL2394_KGRRtoKDTW,2023-12-22 06:05:51,2023-12-22 06:18:15,744.0,"(-85.45139, 42.87833)","(-83.94194, 42.67389)"
DAL343_KCVGtoKDTW,2023-12-22 06:10:05,2023-12-22 06:27:01,1016.0,"(-84.58083, 39.99389)","(-84.13444, 41.74389)"
