Waypoint,Latitude,Longitude,,
AALLE,40.4535,-103.757,,
CLASH,39.28633333333330,-103.699,,
DANDD,39.397166666666700,-103.93916666666700,,
FLATI,40.54666666666670,-105.41966666666700,,
LANDR,40.3575,-104.003,,
LARKS,39.257333333333300,-105.30516666666700,,
LAWGR,40.24883333333330,-103.5675,,
LONGZ,40.3865,-105.6225,,
NIIXX,39.1255,-103.93083333333300,,
POWDR,39.39516666666670,-105.4815,,
QUAIL,39.26083333333330,-104.12483333333300,,
RAMMS,40.4935,-105.23883333333300,,
SSKII,39.324666666666700,-105.67433333333300,,
TBARR,39.1485,-105.46933333333300,,
TOMSN,40.35666666666670,-105.437,,
Denver / D01,Denver,DEN,39.8617,-104.6731
