ac_Type,acft_Class,Wing area,CD0,e,typical engine,Max thrust
A320_IAE,Twin Engine. Commuter Aircraft,,0.021,0.85,IAE V2527M-A5,133
A320_CFM,Twin Engine. Commuter Aircraft,,0.021,0.85,CFM56-5B4/P,120
BCS3,Twin Engine. Commuter Aircraft,,0.021,0.85,PW 1525G-3,108.54
B739,Twin Engine. Commuter Aircraft,,0.021,0.85,CFM56-7B27,121
B38M,Twin Engine. Commuter Aircraft,,0.021,0.85,CFMI LEAP-1B28,127.62
A20N_PW,Twin Engine. Commuter Aircraft,,0.021,0.85,PW 1127G,120
A20N_CFM,Twin Engine. Commuter Aircraft,,0.021,0.85,CFMI LEAP-1A29,118.68
A321_IAE,Twin Engine. Commuter Aircraft,,0.021,0.85,IAE V2533-A5,140.56
A321_CFM,Twin Engine. Commuter Aircraft,,0.021,0.85,CFM56-5B3,150
P28A,Single Engine. Light Aircraft - No Struts,,0.023,0.8,LYCOMING 0-360,1.69
A21N_CFM,Twin Engine. Commuter Aircraft,,0.021,0.85,CFMI LEAP-1A33X,143.05
A21N_PW,Twin Engine. Commuter Aircraft,,0.021,0.85,PW 1133G,147.28
SF34,Twin Engine. Commuter Aircraft,,0.021,0.85,GE CT7-9B,6.71
B77L,Twin Engine. Widebody Aircraft,,0.017,0.85,GE90-115,513.9
B738,Twin Engine. Commuter Aircraft,,0.021,0.85,CFM56-7B27,121
B737,Twin Engine. Commuter Aircraft,,0.021,0.85,CFM56-7B26,117
B752_PW,Twin Engine. Commuter Aircraft,,0.021,0.85,PW PW2000-43,189
B752_RR,Twin Engine. Commuter Aircraft,,0.021,0.85,RR RB211-535-E4B,193
B763_GE,Twin Engine. Widebody Aircraft,,0.017,0.85,GE CF6-80C2,263
B763_RR,Twin Engine. Widebody Aircraft,,0.017,0.85,RR RB211-524H,264.4
B763_PW,Twin Engine. Widebody Aircraft,,0.017,0.85,PW JT9D-7R4E4,220
MD11_GE,Multi Engine. Widebody Aircraft,,0.019,0.84,GE CF6-80C2D2F,282.46
MD11_PW,Multi Engine. Widebody Aircraft,,0.019,0.84,PW PW4462,280
CRJ2,Twin Engine. Commuter Aircraft,,0.021,0.85,GE CF34-3,41
PC12,Single Engine. Light Aircraft - No Struts,,0.023,0.8,PW PT6E-67XP,4.45
DC93,Twin Engine. Commuter Aircraft,,0.021,0.85,PW JT8D-15,66.7
A306_PW,Twin Engine. Widebody Aircraft,,0.017,0.85,PW PW4158,249
