t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft
0,39.471957,-82.139821,34843.470164,39.471965,-82.139803,34406.851392
1,39.593022505,-82.183999805,34561.33471902953,39.49382784000002,-82.183984115,33626.96598009
2,39.71408801002358,-82.22817861,33735.09548828953,39.61489296000002,-82.22816523,32847.08056818
3,39.83515351502358,-82.272357415,32908.85625754953,39.73595808000002,-82.272346345,32067.19515626997
4,39.956219020023575,-82.31653622,32082.61702680953,39.857023200000015,-82.31652746,31287.30974435997
5,40.0772845251179,-82.360715025,31256.37779606953,39.97808832000001,-82.360708575,30507.42433244997
6,40.1983500301179,-82.40489383,30430.13856532953,40.09915344000001,-82.40488969,29727.538920539948
7,40.319415535165064,-82.44907263500001,29603.89933458953,40.220218560000006,-82.449070805,28947.65350862995
8,40.44048104016506,-82.49325144000001,28777.660103849525,40.341283680000004,-82.49325192,28167.768096719945
9,40.56154654518864,-82.53743024500001,27951.42087310952,40.4623488,-82.537433035,27387.88268480993
10,40.68261205028297,-82.58160905000001,27125.181642369516,40.58341392,-82.58161415000001,26607.997272899927
11,40.80367755528297,-82.62578785500001,26298.942411629512,40.704479039999995,-82.62579526500001,25828.111860989924
12,40.924743060282964,-82.66996666000001,25472.703180889508,40.82554415999999,-82.66997638000001,25048.226449079913
13,41.04580856528296,-82.71414546500002,24646.463950149504,40.94660928,-82.71415749500001,24268.34103716991
14,41.166874070377276,-82.75832427000002,23820.2247194095,41.0676744,-82.75833861000001,23488.455625259907
15,41.28793957537728,-82.7972,22993.985488669492,41.188739520000006,-82.80251972532331,22708.570213349907
16,41.409005080377284,-82.7972,22167.746257929484,41.30980464000001,-82.8467008403464,21928.6848014399
17,41.53007058537728,-82.7972,21341.507027189477,41.43086976000001,-82.8908819553695,21148.799389529893
18,41.65113609037728,-82.7972,20515.26779644947,41.551934880000005,-82.9350630703927,20368.913977619897
19,41.7483,-82.7972,19689.02856570946,41.673,-82.9405,19589.02856570989
20,41.7483,-82.7972,19689.02856570946,41.673,-82.9405,19589.028565709792
21,41.7483,-82.7972,19689.02856570946,41.673,-82.9405,19589.028565709792
22,41.7483,-82.7972,19689.02856570946,41.673,-82.9405,19589.028565709792
23,41.7483,-82.7972,19689.02856570946,41.673,-82.9405,19589.028565709792
24,41.7483,-82.7972,19689.02856570946,41.673,-82.9405,19589.028565709792
25,41.7483,-82.7972,19689.028565709457,41.673,-82.9405,19589.028565709792
26,41.7483,-82.7972,19689.02856570946,41.673,-82.9405,19589.028565709792
27,41.7483,-82.7972,19689.02856570946,41.673,-82.9405,19589.028565709792
28,41.7483,-82.7972,19689.02856570946,41.673,-82.9405,19589.028565709792
29,41.7483,-82.7972,19689.028565709457,41.673,-82.9405,19589.028565709792
30,41.7483,-82.7972,19689.028565709476,41.673,-82.9405,19589.028565709792
31,41.7483,-82.7972,19689.028565709476,41.673,-82.9405,19589.028565709792
32,41.7483,-82.7972,19689.02856570947,41.673,-82.9405,19589.028565709792
33,41.7483,-82.7972,19689.02856570946,41.673,-82.9405,19589.028565709792
34,41.7483,-82.7972,19689.02856570946,41.673,-82.9405,19589.028565709792
35,41.7483,-82.7972,19689.02856570946,41.673,-82.9405,19589.028565709792
