t,f1_lat,f1_lon,f1_alt_ft,f2_lat,f2_lon,f2_alt_ft
0,39.471957,-82.139821,34843.470164,39.471965,-82.139803,34406.851392
1,39.473643325829734,-82.14055731341666,34829.69951015432,39.47365031999954,-82.14053935191667,34393.85330180149
2,39.4756610842464,-82.14129362683333,34815.928856308645,39.47566807199954,-82.14127570383334,34380.85521160299
3,39.47767884266307,-82.14202994025,34802.15820246298,39.47768582399954,-82.14201205575,34367.857121404486
4,39.47969660107972,-82.14276625366666,34788.387548617335,39.479703575999544,-82.14274840769063,34354.85903120598
5,39.481714359496394,-82.14350256708333,34774.61689477167,39.481721327999544,-82.14348475963126,34341.86094100748
6,39.48373211791312,-82.1442388805,34760.846240925996,39.48373907999953,-82.14422111157215,34328.862850808975
7,39.48574987632979,-82.14497519391666,34747.07558708033,39.48575683199953,-82.14495746351278,34315.86476061047
8,39.48776763474645,-82.14571150733333,34733.304933234656,39.48777458399953,-82.14569381545341,34302.86667041197
9,39.48978539316312,-82.14644782075,34719.534279388994,39.48979233599953,-82.14643016739404,34289.868580213464
10,39.491803151579774,-82.14718413416666,34705.763625543324,39.49181008799953,-82.14716651933468,34276.87049001496
11,39.493820909996444,-82.14792044758333,34691.992971697655,39.49382783999953,-82.1479028712753,34263.87239981646
12,39.4958386684131,-82.148656761,34691.992971697655,39.49584559199953,-82.14863922321594,34250.87430961795
13,39.49785642682977,-82.14939307441666,34678.222317851985,39.49786334399953,-82.14937557515657,34237.87621941945
14,39.499874185246426,-82.15012938783333,34678.222317851985,39.499881095999534,-82.1501119270972,34224.878129220946
15,39.5018919436631,-82.15086570125,34664.451664006316,39.501898847999534,-82.15084827903783,34211.88003902245
16,39.50390970207975,-82.15160201466666,34650.681010160646,39.503916599999535,-82.15158463097846,34198.88194882395
17,39.50592746049642,-82.15233832808333,34650.681010160646,39.505934351999535,-82.1523209829191,34185.88385862545
18,39.50794521891308,-82.1530746415,34636.910356314984,39.507952103999536,-82.15305733485972,34172.885768426946
19,39.50996297732975,-82.15381095491666,34623.139702469314,39.509969855999536,-82.15379368680036,34159.88767822845
20,39.511980735746405,-82.15454726833333,34609.36904862365,39.51198760799954,-82.15453003874099,34146.88958802995
21,39.513998494163076,-82.15528358175,34595.59839477798,39.51400535999954,-82.15526639068162,34133.89149783145
22,39.51601625257973,-82.15601989516666,34581.82774093231,39.51602311199954,-82.15600274262225,34120.893407632946
23,39.5180340109964,-82.15675620858333,34568.05708708664,39.51804086399954,-82.15673909456288,34107.89531743444
24,39.520051769413065,-82.157492522,34554.28643324098,39.520058615999545,-82.15747544650351,34094.897227235946
25,39.52206952782973,-82.15822883541666,34540.51577939531,39.522076367999546,-82.15821179844414,34081.89913703744
26,39.52408728624639,-82.15896514883333,34526.74512554964,39.524094119999546,-82.15894815038477,34068.90104683894
27,39.526105044663055,-82.15970146225,34526.74512554965,39.52611187199955,-82.1596845023254,34055.90295664044
28,39.52812280307972,-82.16043777566667,34512.97447170398,39.52812962399955,-82.16042085426604,34042.90486644194
29,39.53014056149638,-82.16117408908333,34499.20381785831,39.53014737599955,-82.16115720620667,34029.906776243435
30,39.532158319913044,-82.1619104025,34485.43316401265,39.53216512799955,-82.1618935581473,34016.90868604494
31,39.53417607832971,-82.16264671591667,34471.66251016698,39.53418287999955,-82.16262991008793,34003.910595846435
32,39.53619383674637,-82.16338302933333,34457.89185632131,39.53620063199955,-82.16336626202856,33990.91250564793
