size,trial,status,returncode,runtime_sec,stderr_tail
10,1,error,2,0.02,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
10,2,error,2,0.019,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
10,3,error,2,0.018,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
10,4,error,2,0.017,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
10,5,error,2,0.017,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
10,6,error,2,0.018,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
10,7,error,2,0.018,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
10,8,error,2,0.017,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
10,9,error,2,0.017,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
10,10,error,2,0.018,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
15,1,error,2,0.017,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
15,2,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
15,3,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
15,4,error,2,0.016,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
15,5,error,2,0.015,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
15,6,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
15,7,error,2,0.016,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
15,8,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
15,9,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
15,10,error,2,0.015,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
20,1,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
20,2,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
20,3,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
20,4,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
20,5,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
20,6,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
20,7,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
20,8,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
20,9,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
20,10,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
25,1,error,2,0.013,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
25,2,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
25,3,error,2,0.015,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
25,4,error,2,0.015,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
25,5,error,2,0.015,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
25,6,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
25,7,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
25,8,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
25,9,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
25,10,error,2,0.015,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
30,1,error,2,0.015,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
30,2,error,2,0.015,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
30,3,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
30,4,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
30,5,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
30,6,error,2,0.013,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
30,7,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
30,8,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
30,9,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
30,10,error,2,0.014,"/opt/homebrew/Cellar/python@3.13/3.13.4/Frameworks/Python.framework/Versions/3.13/Resources/Python.app/Contents/MacOS/Python: can't open file '/Users/sdane/Desktop/FAA Fast/code/FAA-Fast-UMich/your_solver_script.py': [Errno 2] No such file or directory
"
